8
1224 1600
-113 -581 -193
-33 1220 -541
13 525 -1133
-452 -279 900
-927 -24 256
19 -558 746
-692 -109 1010
838 -678 503
322 402 942
459 -549 313
-140 -672 -1067
462 986 812
-729 -316 -723
436 398 586
892 682 -867
-185 -1213 393
240 -865 -1012
906 121 668
-1011 -872 -38
-1146 1089 573
-1150 -6 -559
1072 -957 -580
-714 983 706
75 1191 918
771 -255 -607
37 -140 1125
-985 226 406
523 -581 252
-934 1106 1203
-715 996 -421
78 388 -1201
469 -157 -39
-1003 -1061 919
-309 -617 -627
-85 238 -211
434 -492 -491
87 -256 1177
161 1164 -39
536 160 811
941 147 780
1010 1117 -378
81 -815 682
1206 -1162 -809
1038 470 -932
-486 -187 -439
50 -9 764
-586 1195 105
1056 1018 70
-533 -720 165
-84 664 1074
884 -545 -1182
-859 -941 254
-154 291 636
-1181 464 -167
-316 -272 315
964 -827 424
-907 -864 935
720 450 -792
-119 230 1046
77 -602 16
144 -117 129
-738 1035 37
-281 271 -734
97 638 1140
-1096 -594 -220
-418 1181 44
-750 578 444
-264 496 -554
-1039 -426 468
1195 -965 449
1158 -271 -726
780 7 699
129 -958 -1181
-221 -1195 77
320 895 1000
-983 -74 -511
838 -136 819
584 101 -991
-406 -1012 624
-1180 -313 -618
-808 561 302
-854 249 -168
630 -22 -175
-929 944 -226
852 -274 -979
1180 -427 33
-972 -731 324
-660 -628 -406
297 -851 -1033
-241 280 -869
-1104 -281 -607
-1099 452 -1023
-594 -694 336
-564 -517 -771
-328 524 244
-807 -500 893
-254 -610 -180
-194 873 -974
986 -931 75
1191 -3 -414
-929 208 749
823 -960 -594
908 -852 -232
-403 663 -862
-718 18 -195
824 -671 640
-800 -716 -279
-1139 1114 392
874 1036 -328
9 -300 838
1020 157 1097
993 -681 712
-546 716 -1098
-468 -971 993
77 -191 -998
26 326 792
-716 -1050 766
-262 -1198 915
1128 839 866
-164 399 -1060
14 612 1179
-1069 -390 -700
-100 381 235
-915 -120 -589
-547 -752 -560
616 -22 -466
-712 -356 661
-230 275 -664
-1204 844 647
-791 -1121 -423
-1062 40 -557
-97 1133 1162
966 9 -179
-463 1032 -367
-1003 -1166 -846
-713 732 1087
984 957 -231
-995 175 -734
1001 -1137 35
1034 -906 361
-248 328 -1014
-283 -346 490
-910 -66 -509
-30 -761 -744
-331 -1211 -871
-1146 -885 -604
241 -911 486
-988 367 1120
-727 315 1172
-478 -293 290
-683 -590 580
1140 -436 -723
577 586 548
184 -160 817
70 355 391
-1005 942 -379
-903 174 236
-1011 158 727
467 -240 54
731 -316 -831
556 -387 635
-497 -13 -618
-198 823 -746
904 -571 1153
286 -584 -385
209 -27 914
-711 -788 -793
309 1004 26
-44 -497 -276
-323 912 491
-415 -322 130
762 -1138 -606
338 -394 982
1108 -182 533
-122 224 -883
437 -936 371
-411 -846 -746
-1162 866 142
-167 877 -761
151 -634 -958
315 1199 2
382 -356 -1083
-84 94 -127
229 -254 186
-276 745 435
-1154 686 932
-700 427 242
-1161 -682 -403
-474 -209 -666
-1031 -512 299
-671 312 -425
-91 348 736
913 742 -461
1098 1094 -46
-59 -910 1153
-205 278 -378
-941 38 -907
-367 -699 990
1018 381 98
-620 -493 -884
-421 -450 879
-16 204 -983
551 -1082 1004
889 -848 -774
554 -302 460
93 168 699
-313 -888 382
-386 90 -390
-957 1100 1037
-1053 -90 1182
-988 -806 -752
-599 -158 815
696 -680 -414
1016 -975 -601
107 -1003 35
-923 567 -996
337 -2 -299
300 321 -508
940 1215 -413
1196 338 432
-1224 918 -766
749 -876 -1142
-982 -30 -459
976 -838 420
331 -1109 -224
-589 -832 1126
211 -19 483
-903 842 -1054
-436 342 -220
-49 276 -331
280 1070 311
-23 33 1020
-491 -913 -458
571 -1157 350
-828 1218 -796
-240 492 934
-488 483 -1010
-1016 -792 1076
-1179 445 -1210
788 -267 330
-816 968 -410
1113 440 370
420 683 -850
522 1034 -1124
662 -42 -392
-927 -890 1216
1162 550 851
36 -5 -138
-980 982 1197
-833 -30 744
143 872 -380
-403 -702 -503
619 496 -916
678 244 1079
148 207 -88
390 726 1002
-579 1000 25
-725 -297 581
35 -1016 794
694 -872 -417
-941 -43 -854
460 -507 -15
-513 -166 -340
-400 -492 -816
-594 941 771
-933 360 -407
766 -162 444
-158 864 430
-1141 -11 -251
830 65 552
-702 -674 -125
710 875 -291
22 -276 -699
-617 491 1006
-845 -411 1033
-326 -250 261
-588 -155 39
-969 -777 127
858 -914 656
-413 225 1066
-1024 860 -506
-149 459 1074
169 1003 -1075
-618 969 40
1040 848 1137
-214 -895 -501
502 358 -53
140 -849 -402
-500 431 -1182
-105 -943 -342
755 671 1070
416 559 210
-798 97 784
604 -310 -863
-917 214 905
-555 -1189 424
1121 -873 -1160
-63 -430 -716
349 -728 997
-279 -507 479
-456 131 40
-672 815 251
107 1009 -58
258 -75 -67
107 -1074 638
485 614 -802
-87 682 299
1052 386 -6
667 680 551
-620 1009 1186
-423 1191 -27
-187 -254 671
-147 1173 -608
-113 776 -89
-1114 -700 -216
383 177 -952
-428 445 970
-6 877 158
-217 -664 1037
-585 813 -327
-385 -669 997
1101 -159 -993
-261 -319 -12
-1061 -869 -873
-279 -133 320
829 946 -641
-445 669 -606
1023 -599 -293
636 -1123 -247
755 878 1077
716 633 763
-444 -1005 -825
-232 -24 -591
968 277 490
-826 222 -685
316 -312 -695
-738 654 -810
-453 1135 834
-2 24 -847
-274 1181 516
-206 -1115 675
1005 773 -1206
873 -810 -316
-467 -924 -308
-197 921 1016
347 -895 -447
778 -897 674
283 -1001 -741
-265 1069 311
1157 -852 -813
420 -1024 -585
-712 -609 384
964 52 -1212
1199 -262 -1198
827 575 928
496 748 402
-1107 370 -938
-455 565 -676
-1153 -1071 -808
-760 -834 581
130 -739 825
177 66 250
-535 -442 -542
-1024 1030 1148
-467 732 -964
52 24 1033
1142 -402 71
428 -979 548
694 113 847
140 -60 781
-469 -149 963
900 -422 499
1078 -607 -974
-315 1205 -991
-676 -1119 722
-88 -1030 -106
-321 640 -216
1024 -695 -967
73 300 -416
1183 548 -915
-231 -411 22
413 -441 705
515 218 -554
-367 784 452
-87 -247 1214
425 -634 385
-803 304 -305
460 -1024 -1010
-551 447 -300
-812 564 -844
-390 -585 -503
447 -611 -953
220 -253 586
572 1121 106
-285 1140 -633
40 -1078 -714
-479 -37 860
-1010 -149 -26
-485 533 1056
978 -956 841
1072 -996 -854
719 415 839
282 -527 -882
-941 63 -858
308 -813 1127
528 302 -794
552 1155 613
151 737 -1217
1024 516 79
-659 873 1141
-1118 -671 -309
43 32 759
-1155 -410 -96
1021 -26 -1113
-384 -1131 -1043
839 -442 -840
-138 -670 226
814 -321 620
1126 -249 -713
-165 1001 -865
-496 -762 -651
468 -1193 -411
231 -1030 123
1106 -324 391
-608 -1044 -63
-560 -30 -1174
-72 -1175 562
788 445 -239
306 323 -396
-927 868 241
378 978 -109
715 533 -653
152 -335 121
1186 -638 -492
1140 -209 882
1196 185 849
-101 -44 -938
-1108 -187 918
748 338 -605
-1029 1112 344
970 -1031 -455
-573 1186 1033
1122 1189 -758
-177 448 -164
322 1013 -462
3 -851 944
-461 -746 -965
434 441 1122
-301 696 336
-778 1008 408
960 -1160 -759
1133 188 -696
481 -1210 -1015
875 11 353
558 700 -516
-659 -857 517
