8
328 1600
153 -169 -97
309 30 -97
273 -252 -63
-142 36 -198
-268 -166 -160
109 -12 -293
247 160 72
250 70 -101
-250 210 211
25 263 -75
49 -185 218
77 235 15
-16 -238 218
-75 18 248
121 -14 -278
-57 310 271
-90 -299 182
-161 247 71
321 -175 285
-101 -114 -59
-265 256 -145
102 130 -98
321 310 174
-94 107 -243
-248 -200 283
-67 -86 -184
65 241 219
82 63 313
39 255 9
-101 -5 196
-209 -255 60
-83 233 -59
-292 -50 98
-255 116 194
29 -53 242
-321 -328 240
-1 78 289
-86 193 165
119 129 -290
79 -214 -106
-189 162 -227
-52 231 278
-209 122 -166
-196 210 131
-219 -8 -168
135 -19 -193
128 -188 -313
-147 254 -62
-170 286 231
134 -171 127
106 -119 292
-132 -91 -69
-91 -306 63
-29 -156 -10
154 -262 -94
168 111 276
-78 45 161
2 -312 -272
105 -33 194
-32 -3 264
40 -117 275
139 -256 27
168 327 121
231 234 -123
46 121 -195
-104 328 3
186 219 -25
266 146 13
-223 142 302
-287 22 -179
-274 -91 93
-64 222 -319
-173 309 -159
-277 282 249
-111 -137 -154
43 -327 188
-148 156 -67
107 21 -36
-228 -52 -39
143 291 -274
-223 215 -322
224 238 -87
8 -227 152
-32 -67 -185
-304 103 13
307 135 -281
-252 12 231
-307 -295 106
113 -321 28
126 -124 -157
-243 -249 199
-201 -275 -87
-196 290 -156
-149 234 -59
130 138 -243
137 228 185
175 60 314
-122 -187 -116
233 231 -235
-296 -328 -76
85 258 -18
-149 151 176
208 84 250
274 147 239
-130 -228 137
-145 -241 -243
314 -18 312
-221 239 -106
-12 41 291
-238 -273 -282
161 -185 -105
231 224 -227
-69 -312 189
300 -277 10
62 286 242
-323 -57 -183
-271 54 195
-243 301 -171
22 302 227
-198 272 47
-299 20 -316
-257 -293 306
-215 10 -175
-219 -157 -195
-194 -116 -74
-54 53 205
-165 264 115
-17 -132 -209
-99 156 -83
243 -149 135
166 -133 -58
-184 -114 -115
-135 -81 -98
166 158 -170
322 119 15
282 -88 92
46 -213 -65
-57 7 -278
-242 106 159
218 -179 -152
70 -116 -99
200 182 -184
-12 205 -293
-263 293 90
300 197 -184
-198 149 212
-181 270 204
24 -240 72
-130 299 103
