8
584 1600
-447 480 295
-244 -583 57
-149 -95 485
430 127 -16
-265 505 226
-139 451 -217
476 288 -428
120 -221 61
178 -454 99
-273 469 401
91 -257 468
-380 172 50
216 389 -385
-212 444 41
-378 -173 -366
286 191 518
245 -120 -38
499 -379 -562
501 375 -467
368 356 -13
-498 -94 -544
86 563 -239
-341 -93 -534
-239 44 -256
-528 565 149
-358 -426 104
73 -408 -153
-98 -104 -166
-431 -389 -259
-478 299 -439
366 -292 329
-415 191 380
136 -335 -69
-466 -10 548
285 -201 130
438 422 332
-165 -125 368
-246 -475 481
-241 441 -437
-30 -423 -136
112 -546 -265
197 -105 -415
-41 -550 364
-454 -275 567
-247 -254 435
279 158 -343
3 -553 431
-379 225 193
-399 206 299
-97 -450 192
67 -347 -370
42 472 -9
36 399 82
219 512 -580
-314 -489 -217
-5 -344 -96
279 -177 256
479 -138 8
579 -53 -346
-251 -322 -568
55 -244 -65
553 -211 -461
115 319 -322
542 -419 273
-377 -420 -413
42 -465 -171
139 163 -343
472 522 523
-285 352 456
236 -365 -197
-457 448 268
425 -517 411
-570 388 -565
-422 -50 -92
-408 -497 -213
375 431 -509
537 -236 111
-526 -537 378
477 215 584
-233 -189 -334
575 -121 517
-473 -459 -520
78 -472 -39
-312 -166 7
-381 -81 -293
-154 -149 -380
-159 -252 312
179 173 -141
-337 540 22
286 276 -456
521 -130 27
316 -276 -438
-505 145 -281
546 132 -466
40 44 251
-107 -416 479
113 72 460
-407 299 272
-274 -368 359
268 577 545
469 418 -40
-360 -70 -451
433 -455 -266
-294 61 242
16 519 499
-378 479 117
38 171 405
173 43 427
122 245 66
338 379 -323
214 452 487
-332 -384 -533
138 -63 137
-33 466 173
-86 212 -277
568 111 112
189 -75 -276
-263 -96 64
310 -104 273
-501 129 -331
-238 -202 466
-116 530 78
-234 -83 -379
223 42 176
375 -363 -22
-46 241 9
-33 -309 -329
-135 451 531
4 -102 -76
355 219 -563
-199 3 -189
-100 133 -461
-528 384 -438
441 -53 -30
74 -131 -493
-92 -7 451
500 124 -341
-513 -297 -269
-549 84 -153
82 205 391
187 349 423
-576 155 -554
-14 419 -550
-27 69 483
520 438 -245
422 565 -155
142 -247 -54
-363 487 535
-482 -220 422
492 463 196
272 60 -133
484 285 154
-582 -140 -192
-122 -304 -8
-548 -32 89
237 -511 -245
373 269 -544
583 -361 -166
-460 317 56
-559 -445 -306
463 -220 416
426 -552 -33
379 13 -42
-505 -197 -254
115 307 476
557 -307 106
218 168 -202
-303 247 177
-90 105 -61
-313 367 216
-296 -280 -468
240 -523 570
-521 72 120
208 213 -281
-370 -40 351
456 -362 -220
-452 -477 71
409 171 -481
-103 -529 255
-245 144 281
485 395 -580
186 470 -356
-537 -506 -91
28 -314 -534
80 -159 532
450 -402 -237
-405 -95 313
-178 -528 386
-104 -423 -451
218 -251 244
332 376 475
399 -347 -575
-59 -496 -111
-369 127 423
551 236 -198
376 -209 528
275 108 -499
246 471 292
139 510 -87
104 -356 441
36 -386 -271
115 189 -423
361 42 -348
-217 305 35
