8
840 1600
407 -202 609
-306 -696 375
-276 -281 -622
292 -326 127
-824 -769 -273
-599 613 -300
732 272 29
225 176 -75
-642 -694 131
165 -4 -253
-799 -173 618
252 -737 429
703 -181 -359
-646 -101 -394
763 -72 -382
259 -674 757
113 173 765
-225 -348 -760
612 680 115
670 317 323
-753 292 268
-134 302 149
269 -419 -2
648 -500 -788
-183 238 801
-458 -548 17
468 -435 -122
-194 376 -717
-178 815 -762
454 126 -546
462 87 -379
301 713 575
-648 335 -75
-274 -440 233
-186 612 -436
-605 -280 -312
-280 -782 -198
91 -123 -818
-710 293 606
-726 282 744
54 277 94
-289 -369 -37
-820 40 -128
-820 -366 472
265 -624 15
292 468 -822
463 706 -364
676 -72 216
-196 -637 -119
620 603 -790
330 -109 -698
-825 -741 -93
-204 338 96
636 628 274
410 -817 547
194 -555 109
-660 -699 682
266 564 -290
-772 -456 554
-397 574 290
-150 -485 678
287 -322 -85
796 96 359
-384 331 548
-389 13 -817
-462 478 643
-818 -245 674
-365 165 -193
797 397 317
-138 -698 -688
-525 423 -439
-789 140 -492
63 86 -97
-558 -188 -444
-662 492 595
-353 -510 160
-65 742 -366
-463 208 -498
235 428 52
-262 707 720
457 292 781
-635 167 -264
-806 -466 -186
727 -148 548
-293 -507 133
-798 -576 305
740 -188 425
-445 -342 673
-160 824 60
376 186 -444
-397 769 603
-476 -673 -93
-373 657 329
422 438 153
646 482 -419
-759 347 -816
552 -237 -15
144 -794 -678
590 -285 -498
-720 -197 583
148 585 2
-295 319 -590
-35 478 -395
63 42 -8
-109 -539 298
-432 -279 -378
-188 158 -469
364 -431 -109
86 235 588
282 688 781
677 322 -784
-446 -574 -832
-176 385 202
484 -758 32
726 564 464
-85 -272 151
241 79 239
131 797 282
420 -398 51
466 -706 -814
746 -303 814
61 -768 285
-348 -79 -278
655 769 -500
-736 54 822
16 551 758
687 19 -118
-178 -698 420
-384 -555 592
-154 595 -226
699 332 -427
-23 -505 764
-418 -310 523
4 491 154
-630 178 -335
-251 -379 676
-437 -214 91
602 499 418
664 256 680
776 286 -516
-503 169 -229
-451 -354 655
-198 -519 765
757 -710 -724
55 724 332
-337 -169 14
-222 645 -168
139 -2 -101
-6 313 -40
-759 203 463
-423 95 534
-555 756 402
-437 534 -131
-697 -23 142
-642 -637 -641
-412 257 417
743 -293 293
327 -752 -306
-210 -33 -226
113 444 -562
214 589 -576
355 143 -758
-300 -791 467
648 -271 268
676 800 -712
560 -417 -246
-516 235 -505
-799 754 108
596 -688 43
-94 434 -189
572 -543 93
-550 216 142
-427 -44 765
632 414 674
-426 92 611
-632 -713 -212
551 8 -693
-316 -705 108
-244 -360 -154
153 -136 -415
-188 -89 77
-202 168 -215
787 735 478
364 774 -819
-670 359 -277
-571 579 28
-769 -102 -80
-660 -634 231
304 192 237
-639 626 -321
580 -736 700
34 782 836
496 809 129
90 -145 -650
52 400 -444
-165 -819 -197
116 687 -799
323 -753 -13
23 -532 130
675 -584 635
-592 -130 -641
-185 -820 602
820 506 679
587 234 -408
244 752 179
-244 834 459
-73 -597 -639
482 668 -381
835 330 585
435 -122 -814
-394 329 70
-550 -604 -463
-516 463 771
-405 -263 -641
-77 553 -155
-221 -839 -410
455 -560 -143
511 -81 261
618 -548 746
-94 690 -243
-522 142 386
-175 803 -169
306 827 348
-294 727 69
318 -707 -679
60 -736 306
-190 540 305
-711 675 -834
446 -293 218
518 135 671
87 -476 -302
-119 546 263
-691 321 419
500 -19 55
366 -390 601
615 138 2
-46 96 544
66 -294 -54
-766 -650 -67
813 486 -93
-132 -531 245
-133 567 807
34 95 -530
331 526 702
-803 -387 472
603 -444 -681
307 832 457
654 -561 -160
-23 309 -273
-56 585 -729
200 -169 271
-446 599 104
-340 -483 -169
-602 672 336
-176 263 -336
539 348 -638
-18 -378 132
-462 -153 542
-153 758 468
785 601 -51
-477 -350 475
281 588 -705
-333 406 -824
703 734 -805
696 302 744
-522 190 407
661 -575 105
425 -423 -414
-147 -23 -310
306 -767 -36
92 714 446
659 813 -394
570 -229 237
-555 -791 -123
764 -626 546
-808 526 807
128 -209 -472
541 -642 444
829 10 651
519 -586 -292
-142 -476 180
808 779 147
-769 322 643
661 -70 -580
762 483 -148
548 -608 443
-593 -471 554
-106 -430 530
-745 105 -672
-800 -76 117
-215 -589 781
-512 539 384
-743 -625 -619
635 -636 -142
685 807 -730
-461 287 -447
593 -536 412
834 -812 43
116 -449 805
103 48 514
567 412 164
13 88 298
-552 -223 -773
743 -167 -804
298 -547 708
322 426 30
834 -592 438
-687 -731 755
-630 -153 -356
107 149 -128
-393 652 374
-651 271 616
-81 -762 274
160 -560 -335
-595 -736 623
-416 -637 68
-496 -109 545
-239 524 91
-546 140 -678
708 -94 251
-598 269 682
-330 509 -794
639 -412 -266
-546 -243 -484
174 378 368
-48 -458 -311
-487 827 830
-689 -828 380
-135 -780 -158
368 186 -432
383 -436 -690
-472 -66 613
-731 -391 100
46 -752 569
665 -393 -36
324 -85 -693
32 261 -281
822 318 758
-150 -135 347
818 804 -605
482 698 -775
-330 268 -94
61 -59 -405
669 222 -830
368 -487 447
833 801 332
-660 811 771
-643 520 29
-787 475 -257
-771 589 -549
-57 595 235
523 218 -694
117 -327 226
796 -505 11
-28 613 -485
124 733 111
-79 100 -747
469 -504 692
796 615 -691
335 613 223
-765 536 -539
378 -821 -497
-232 820 547
-299 -38 406
-587 -807 -426
-619 -266 -330
463 -3 364
-87 22 36
304 311 181
-388 -203 -469
-22 -597 707
-92 330 346
441 354 -701
-730 86 680
-771 9 -196
302 755 773
-417 831 -529
87 -415 497
-424 -309 43
97 463 -718
536 806 396
684 475 -2
245 -625 -87
-767 -50 -608
-661 -742 797
-187 778 -146
148 645 -41
-293 743 627
-571 -451 -606
-279 539 -100
-448 42 583
-171 -485 696
460 -513 -325
-745 -836 203
496 452 765
245 376 105
634 592 182
-839 359 -327
-275 634 318
99 565 690
432 641 -477
181 564 205
-159 -590 -153
446 -195 -80
818 545 98
-347 -686 372
-123 -144 26
142 -826 -452
-757 112 12
146 743 627
-736 -58 184
-117 -198 613
-534 252 736
364 548 -485
-608 -330 -7
-279 651 736
-338 -190 126
-113 -449 748
18 602 -363
496 298 631
529 673 -435
-395 -254 -805
-99 -376 -395
-94 726 -111
-820 -490 -22
-776 704 -499
-514 824 -52
605 513 484
561 288 13
46 317 -697
636 -565 -323
404 -336 440
-456 121 -26
-420 287 -238
780 611 -681
-390 301 221
435 703 -822
14 802 100
236 591 -87
819 545 689
-316 713 330
-537 -515 -159
14 138 549
-777 -80 468
-610 -319 542
574 -610 -455
337 636 507
420 -797 736
-280 -679 -93
-563 552 356
62 520 332
