8
1416 1600
1255 117 188
-827 -628 1268
-1131 -940 1414
-1302 1000 748
-423 715 -584
268 1360 -155
382 1081 -1304
-743 872 529
-732 -364 1361
490 -936 -241
238 -178 27
806 1220 590
813 1388 -80
1368 1273 570
52 -438 242
77 1317 -318
-750 -866 1063
-1039 1364 -1233
-1270 663 -377
-551 788 -761
-769 -931 1348
740 1018 696
469 102 1162
822 -417 -1352
751 -1040 404
-179 -1088 1403
191 294 -665
864 111 92
940 1124 -1035
-759 1350 811
-298 793 749
355 767 1249
-348 -624 994
552 1222 858
1148 -373 -727
-199 77 -1353
733 -1132 693
715 -845 1147
1234 1090 1169
695 306 1286
941 600 159
-58 412 67
-1224 -1410 -954
-732 -363 1394
126 -231 816
1225 1023 1387
-404 -66 797
955 930 708
-68 -651 -1121
337 557 1156
-413 386 -1380
-197 1193 685
-1401 -183 -924
726 1027 -1400
-1150 156 -429
414 -1045 1136
390 -1155 -1091
1349 -111 -783
-102 -241 164
1200 -413 772
-555 -1159 -611
-760 -516 -1244
-1047 311 1057
-1213 1166 907
520 -794 -1235
1277 -1045 -142
-633 -875 -738
559 970 -495
-141 1324 -771
653 -577 -960
-1371 1115 -417
639 463 -802
76 1393 446
184 -305 -192
-852 -1188 72
918 1151 570
1207 -602 -577
-369 -1313 -1152
864 811 -469
1090 -665 -702
-348 459 -752
-810 98 -172
1149 -330 -30
1231 -457 1386
-1049 -1071 305
-407 885 353
437 -1183 -535
290 -1233 -207
-727 458 1298
-387 -819 -437
488 995 656
397 470 -1189
-329 1053 697
-1182 -344 705
1193 880 706
-537 459 1191
210 -464 -609
1172 414 167
1191 930 769
171 1413 1307
-761 1067 90
-1256 -635 430
-164 355 980
1051 750 402
744 310 -881
389 -617 -1189
-373 -695 423
-910 -62 374
-1105 293 681
-458 866 639
812 1060 1340
820 -1169 -1346
-22 500 1378
255 703 -1372
-1227 1262 283
736 -1073 -1091
-958 -609 -162
-563 30 -90
739 1005 564
-363 -134 497
-465 576 188
-598 -1297 -99
1188 36 -1407
778 -670 612
867 -1086 996
427 -297 119
-785 -130 -499
-363 -1023 -358
-1389 241 -259
-1195 -266 105
-893 -361 1221
-843 -1111 808
-480 935 897
765 484 -187
467 438 -1000
1359 -383 27
1325 -1415 221
32 4 -1006
126 414 589
-794 -567 -903
-1112 -470 520
-376 -1036 -276
-123 -1025 -323
453 -88 177
749 -718 457
-418 120 35
-446 -1294 -855
-549 1117 1317
269 685 360
364 490 -786
-56 -797 -55
-890 -311 1278
-791 -1015 1285
512 799 948
-854 -569 -48
83 -831 -297
-444 -929 -923
1098 -324 214
303 -833 -1352
966 837 -1095
-1139 -5 -1381
-539 935 795
825 1376 -1361
542 238 -845
125 -477 1150
-467 -777 -683
485 1049 160
1321 -1067 336
-376 -795 1394
1322 253 -1198
1230 1367 -433
752 -733 609
444 114 -788
-1216 -460 1327
495 -757 -540
171 885 1000
-1046 -104 -840
-814 244 1357
-359 -769 -1047
1289 -345 -565
-166 50 728
831 -132 674
-1135 433 -682
616 507 -195
-1059 1219 -966
542 -965 -376
-51 45 -874
800 -1159 -1193
-534 -620 770
-67 278 -826
709 -350 1107
221 -1195 39
520 1357 -200
475 775 4
-1191 898 900
-518 1102 524
-80 1312 515
-1391 1018 1071
-551 -1028 476
-1069 -661 -521
426 192 805
-1365 906 482
-260 -577 -991
1340 544 -894
-728 -1237 -445
-454 977 542
-1341 948 -332
-795 -201 1302
438 -129 841
999 -933 544
1094 -1407 -32
625 749 -1262
-617 -1356 -647
-248 -809 1364
-486 927 274
1291 -305 -671
-1223 620 727
-1411 257 616
-1144 1295 1097
-825 -1211 570
-1068 -1346 873
788 619 -1132
-137 1126 -594
55 666 -1209
-551 1167 -420
-205 -1045 -987
991 -682 360
927 671 943
-59 1002 -283
-211 -967 -487
-1263 280 696
-519 46 835
119 899 -866
282 141 -1334
39 -446 146
-1081 -212 913
-1113 -223 -909
323 774 -757
565 1246 904
400 771 -494
-1172 272 -1059
434 830 721
428 805 -1112
669 1204 315
-228 -802 1307
92 611 -624
-798 -1154 -665
529 -876 1371
-920 549 -425
1329 -1335 -101
1343 -114 567
840 -207 489
-294 -1102 1094
-1299 -946 -1404
1234 -288 -818
629 -303 557
-610 -830 143
690 -1081 -1213
-491 -428 1123
32 -351 -671
605 708 402
220 -1264 343
106 1208 438
216 184 -549
-396 1277 1311
1368 -828 -1006
226 1056 794
-189 -385 -1326
1177 113 -677
236 1113 -581
1367 600 562
-654 1405 -1345
-329 -1144 1232
753 -476 -303
-1294 -476 -356
1022 -1183 1113
785 419 357
-956 -894 1312
-81 640 838
-484 -552 -842
-475 -811 -202
-1398 -878 260
312 691 -526
800 505 -430
