8
712 1600
132 291 -186
-197 -215 -663
104 45 -220
285 -94 647
565 -123 -142
209 666 -169
-426 -299 625
-641 -37 -297
446 73 360
94 -379 70
-524 22 165
9 360 359
-190 -48 429
63 91 -84
-624 443 -696
-147 -181 -419
-674 348 -700
615 295 542
-168 323 -145
60 242 -227
-306 641 -350
-185 212 -207
101 -686 442
670 -398 454
-184 -654 257
-651 -95 544
408 141 181
-147 19 466
-701 -88 305
-490 458 -424
-14 -555 -311
357 -633 -25
394 340 616
-431 264 270
245 -149 59
433 -87 649
530 519 -219
649 -407 -172
88 609 -72
460 -284 567
-691 -438 -185
22 -581 588
14 403 -451
658 -694 -568
610 124 -539
287 185 -573
-681 527 -677
-526 597 82
528 -217 -281
-310 -376 -284
-109 437 -607
416 362 450
-632 -268 -56
-379 424 -495
104 -524 646
4 -638 272
-40 -655 109
145 194 -606
-611 -406 459
-633 -225 419
-625 146 127
60 -435 645
-8 -222 -180
-574 -213 -174
-452 84 363
-156 83 -311
-371 -368 -540
270 530 -159
-213 -538 -56
-461 -589 -59
672 -650 -342
-396 -320 438
603 88 -329
-514 536 -554
30 171 -451
-320 510 418
688 -26 452
704 126 -95
-149 -561 706
10 565 527
116 46 -272
-415 585 -525
-629 -204 -702
-664 -432 -174
-360 122 -585
496 -591 -644
-320 414 -634
-710 -81 465
-702 -712 107
-503 -121 438
-591 -183 502
-55 41 299
-458 614 -703
-452 -79 -351
-673 236 96
45 -353 -276
-156 418 312
196 85 298
677 579 590
8 377 -397
-451 407 435
323 -286 -239
469 141 -251
37 633 175
697 350 504
-181 46 195
-360 -187 -380
-476 -676 -57
-493 546 339
-671 325 186
673 460 457
-308 491 -427
203 330 -319
176 391 476
-664 -220 -518
97 593 -680
-423 -238 552
455 -599 -390
649 132 -494
6 649 -593
-421 229 498
-680 -238 125
205 256 107
473 -254 -274
-18 -250 471
465 -282 639
349 -54 642
85 -127 559
630 688 477
-293 -474 191
426 -561 -370
295 -340 -599
-230 398 140
409 -288 7
-648 -679 -525
17 591 76
60 207 -187
89 -590 321
-147 635 -225
-231 376 -198
418 -529 -13
276 -444 649
-232 327 574
18 -162 212
144 -360 -416
166 632 407
180 -33 -389
-570 57 -487
-648 -255 317
-690 -270 -167
568 120 -580
444 556 374
-50 605 86
-567 302 -159
-448 570 -429
72 61 710
61 38 -503
403 -519 -213
401 30 -391
-115 149 522
-49 -683 464
-406 380 -675
628 -168 277
612 589 258
-446 598 -415
-200 -113 408
345 118 659
-342 -261 -709
277 -420 44
446 681 676
536 -566 -503
-668 -17 465
-427 -411 -376
-106 656 -256
-696 -437 -310
323 -84 35
-386 -158 -180
-161 -266 510
676 -85 -657
405 526 91
-663 -641 -609
181 464 346
-424 273 28
-83 340 -148
-67 701 274
-78 151 24
136 -529 371
-113 291 -268
-342 -402 -700
102 517 382
-380 -600 43
-582 248 585
-301 399 546
5 -174 312
-151 190 -411
705 402 -628
55 351 -540
222 -674 468
610 -441 -501
-283 -314 333
264 534 691
240 -443 -708
104 -474 225
-327 -227 252
-573 -96 -691
393 556 710
224 117 -336
337 567 -327
297 160 429
394 294 -387
373 297 57
-577 709 172
-2 -471 193
91 -74 74
-389 -170 -121
573 -242 -208
-432 547 -10
625 309 438
-541 447 579
-273 652 -62
301 -669 -158
-498 452 -395
151 288 657
-544 -218 -53
360 -233 186
530 435 700
686 -20 707
190 -62 221
-441 -543 181
8 -182 -519
-648 -76 -689
594 -145 596
-271 304 596
251 700 -434
341 -603 31
129 -411 -3
-572 -536 574
-579 -11 680
48 105 -355
-510 -105 120
363 -250 -19
392 478 575
-224 641 472
-99 -521 -259
-474 -203 -137
307 544 -132
288 -361 453
-348 530 -39
211 -484 74
204 -306 -389
544 -179 137
-58 113 -690
-81 529 504
-243 -472 335
661 -331 87
96 278 274
480 59 278
416 711 -228
476 -630 326
-558 186 -195
-105 -208 447
266 525 178
339 -86 16
143 -91 -428
-109 -460 -235
-253 174 -216
11 644 -293
514 -682 578
61 -247 -307
546 -289 182
-251 522 -700
529 96 338
-505 -428 -541
566 -664 -664
561 -395 311
248 375 -151
-7 510 -328
-133 -399 -270
-115 -21 -378
-18 -601 -64
-119 117 -581
-450 -573 602
557 283 -630
-172 386 632
-699 289 587
-623 66 414
275 246 236
-406 695 514
-115 -546 -477
-83 -462 -301
-485 178 -123
-576 495 561
412 385 -330
-397 -542 -121
587 -99 671
-302 685 -673
546 -573 290
177 -162 -398
-314 421 -429
-292 296 204
-24 -463 -401
-635 360 74
114 -268 436
-133 -697 458
177 299 -149
337 -288 654
-315 -668 -367
-419 -155 461
-198 -673 327
-346 -311 659
-260 -165 -539
-382 331 -195
-9 523 -484
653 657 -260
496 -606 -157
-349 -2 -630
289 533 338
98 -369 -342
-630 -410 405
-518 171 116
-650 251 212
424 -297 286
298 -203 -118
-682 155 438
129 -434 -383
-154 22 -140
424 175 23
71 255 -423
-488 171 -345
-214 458 -83
-344 212 -192
-345 593 -565
302 -226 -395
150 -199 688
-490 -226 282
-455 85 315
-377 118 -601
10 687 297
-644 -603 455
-703 453 -644
384 33 -99
672 -344 247
708 95 188
385 -43 673
-86 -262 -390
-53 447 407
76 -509 -675
-598 -109 513
-189 -310 415
496 -12 467
180 -265 245
-573 -238 -258
-560 413 387
-492 646 -15
284 -508 -308
-656 -59 428
610 -204 225
4 -523 -234
-155 -5 278
-394 597 -540
-157 705 451
-210 -11 131
-674 -694 -312
51 426 -520
610 -3 -588
-6 220 -553
-461 -285 619
-481 -468 -626
90 232 431
-622 -704 534
315 174 -565
-266 259 189
136 538 359
-610 -175 618
685 140 601
167 -429 -529
340 696 -561
451 231 258
338 -711 -706
-269 332 -381
-440 577 698
304 -637 -675
-425 511 -115
-515 371 -673
-169 -441 -342
-402 -484 532
-302 -142 -274
675 -695 -395
-362 -635 383
-424 296 580
-703 483 89
-210 -525 -558
169 170 -381
-312 -673 -708
