8
392 1600
97 332 206
-287 348 201
339 -59 164
3 17 177
305 -166 -228
-26 360 328
308 105 209
360 -294 276
373 -234 -285
-389 323 347
231 285 -380
-251 80 -196
-41 -58 -308
79 -284 310
125 87 374
219 112 42
-73 254 109
-355 33 -278
190 128 355
20 -59 -103
84 -134 258
297 315 302
-369 357 -255
181 -213 -316
-80 23 185
-384 365 -29
100 353 -127
326 361 312
-63 38 -184
-391 -1 -160
61 -327 -358
361 299 -204
273 385 175
-203 -383 -49
-205 -121 38
370 -382 -274
-45 -300 119
381 -374 83
-159 -202 -354
-155 378 -326
-358 179 304
254 -69 203
329 99 246
198 381 303
-103 270 -54
-35 309 19
375 -33 62
-66 105 372
-318 -345 -375
195 74 159
217 4 5
103 80 228
99 315 299
-334 -64 -78
89 -160 -284
39 -222 -73
-361 7 243
40 50 179
223 277 391
-42 -25 -290
139 -173 -219
131 -31 200
-13 -211 -218
15 342 266
295 294 241
-351 338 188
13 78 -152
234 372 -199
142 -355 95
-222 -73 84
-335 110 -188
116 -341 -337
141 21 -119
-103 -174 231
86 -297 78
-328 285 63
-356 311 -222
141 352 53
-82 370 -45
356 -178 -89
84 -155 118
384 362 383
167 -74 -274
387 102 195
313 284 125
-14 321 -368
-82 -323 304
-222 386 349
-236 385 284
271 66 378
-312 -230 228
148 313 129
-209 270 309
170 18 -104
-386 266 384
120 -331 -229
-154 -190 -280
261 5 12
-242 242 -50
-305 -107 72
-69 -1 345
73 306 29
43 -14 183
-96 -222 383
107 -196 147
257 -7 -22
-340 197 163
167 -120 -142
358 -108 2
-290 193 274
286 281 21
39 2 -64
49 -348 139
259 42 -67
-200 163 -24
102 -15 -73
14 -332 392
87 129 -266
20 83 -175
222 -219 -269
240 34 77
307 201 155
389 52 -178
248 -363 75
222 54 63
30 290 -90
-349 234 272
-286 -344 -259
-20 -304 330
391 -25 -112
-255 155 309
102 -49 275
209 236 -140
146 -182 138
-318 288 -188
-272 -198 94
337 -297 119
297 252 -183
47 161 180
386 -327 -179
80 -39 -218
356 209 279
216 -324 15
11 -333 -168
385 327 -346
141 -371 87
231 -174 58
-16 -122 304
-145 52 -4
-4 -52 -158
-155 -251 -60
-128 -104 379
-266 -144 -123
-337 161 150
29 13 257
-389 -136 -133
-85 44 -194
-329 -238 265
-353 177 -158
-246 -145 60
-137 -45 -191
