8
136 1600
13 -54 -127
-93 -1 96
-3 30 -83
96 36 -12
-12 90 104
-17 -73 106
-17 26 -125
79 -103 88
-101 117 -115
-19 54 20
116 -41 47
-28 85 -36
-30 -21 -126
118 106 -10
120 94 51
89 -126 -32
-65 -56 14
10 128 92
-29 -86 100
-1 -68 -100
72 -45 -11
-44 -104 -116
-114 9 117
80 -125 -11
-7 120 56
-9 1 73
21 -117 -11
-11 108 -48
16 -85 -101
-113 -74 52
-86 93 -127
120 -66 15
-4 43 9
-95 -117 52
-90 127 69
123 -77 -132
-40 -30 -134
-51 -62 -81
55 -78 29
-113 -110 89
33 -27 77
-46 -45 61
-109 -42 11
32 -111 -33
-23 -68 33
-123 -12 131
111 -60 75
-121 70 69
23 -67 98
104 41 -135
-53 -119 -47
-101 42 100
94 51 73
-22 -88 122
103 40 4
-78 76 -124
-51 122 -54
-125 74 -106
-24 3 42
-41 -90 -113
88 -56 30
-20 65 -116
10 -84 -135
120 79 20
59 84 -89
132 -69 83
-80 43 88
60 54 -83
49 -44 27
136 43 12
49 120 81
-30 2 -88
-64 70 50
-73 48 -106
-18 -128 46
79 98 -49
72 36 26
-82 24 -80
17 -60 -21
68 -22 -6
-23 75 -133
98 114 128
-51 18 3
135 51 -7
-136 -9 -57
92 102 -68
-29 -30 -102
70 26 111
87 -123 -88
-105 -17 63
-21 -41 103
-108 55 -25
6 -57 -58
-12 -108 6
-129 -28 95
-87 62 -87
-78 -132 4
35 6 118
-99 -49 33
4 79 -26
89 13 -27
-5 10 -71
-24 50 57
33 -79 -95
130 -67 -12
-135 46 -8
-124 1 -71
-42 -47 -118
-130 -77 54
-127 -15 13
-57 -61 74
-111 79 -75
-26 -64 -81
61 -49 -106
133 -79 133
-91 19 -101
-60 -26 -12
-62 83 -131
76 74 40
-55 -115 59
34 -57 -4
10 53 37
-52 86 77
111 -116 9
22 -24 130
-32 136 -73
77 -112 12
-53 18 -2
-45 -110 -123
10 -101 -61
11 18 -12
4 -40 -71
132 88 51
-75 84 98
96 57 -112
36 90 -136
49 -24 -20
-4 135 28
1 52 51
63 5 -35
85 72 -50
-112 108 -120
112 94 7
26 88 -78
-82 -20 67
83 49 -125
25 93 56
104 7 -63
118 -4 112
102 -129 134
119 -63 -59
133 44 78
72 -43 44
-1 -52 -132
23 -22 10
-118 32 -12
115 53 -126
-89 75 106
-125 -16 -72
-119 124 -21
-67 108 117
6 -121 -23
-88 81 -77
-114 -116 -27
-1 -62 -47
42 -20 66
136 -91 54
56 21 -57
-29 -15 -105
-115 -95 -125
-100 -67 125
-45 -78 -117
-78 -26 -101
37 -6 135
-12 -26 2
76 -27 128
-70 26 75
64 -96 -73
105 -45 66
55 104 -51
1 47 -112
128 74 -104
102 -61 63
-34 5 -111
99 -6 134
96 -100 11
-125 33 -112
24 66 127
-76 65 -23
85 -10 63
108 -48 -21
-28 -7 48
121 111 116
-33 -81 47
130 7 61
90 6 23
40 61 41
-131 -8 50
-105 -54 57
76 -42 -107
77 -62 132
-35 -105 -50
-10 90 5
67 -7 -77
-90 -69 127
31 61 -1
52 67 -73
100 25 27
63 -125 2
4 -104 -119
42 78 -103
-105 81 -35
-19 -16 -124
117 -7 79
-6 66 74
59 -83 -42
56 -136 14
32 20 -86
-136 46 -74
128 -62 53
-83 9 36
50 -9 -13
121 -67 113
83 -68 119
-76 -133 -23
-40 95 4
-77 81 14
-96 -44 65
77 -124 -91
-82 23 21
48 36 -55
19 107 -10
79 55 105
-61 128 20
-10 -106 -128
-109 17 -52
-23 -85 15
-106 63 12
-85 -70 -84
81 -63 11
124 -103 -28
-80 -49 20
-75 52 42
37 -28 123
-91 26 91
-50 -19 -97
-93 -133 71
23 -65 -6
20 -47 -9
11 66 124
-70 108 -26
86 -97 -130
-83 111 -119
-51 -92 82
43 86 34
-24 81 20
-85 -43 67
-94 -8 8
-48 119 -100
43 111 -31
-83 102 -123
-93 -131 -95
-24 111 -96
-136 -36 -98
-61 80 2
49 100 -60
-18 -69 122
52 -131 34
41 96 112
-122 51 8
40 19 -135
-84 28 110
33 -43 -121
-8 25 9
-30 -68 -73
101 -54 81
-117 32 -19
73 132 -4
131 -61 -47
-34 -62 -61
-18 101 -8
72 -48 3
4 133 126
-21 -113 -57
-128 123 -20
-106 121 -129
-123 -55 -74
-134 31 27
-108 -91 -134
-115 -113 59
-22 -124 122
-120 38 31
76 55 -99
-15 135 -101
-52 18 42
41 81 -90
-39 43 -52
-77 135 63
12 29 -32
26 -128 -2
87 25 40
45 131 -38
6 83 78
112 -61 113
-30 51 -114
39 -108 2
-36 -12 75
-88 6 100
-60 -123 -20
-60 87 -114
-60 135 -27
-35 82 54
-19 -37 -82
77 -67 -77
14 -133 -5
-36 18 -68
-89 -7 -87
-78 -25 104
-92 120 -68
114 33 -34
-36 -98 -12
19 -35 -115
-87 -70 -67
78 -110 38
70 -132 -29
102 -116 104
33 -30 -123
-14 -65 -30
-64 120 -64
-50 -26 12
123 114 127
-108 -47 20
-115 -32 119
12 -136 39
-77 54 110
130 -82 120
51 -31 78
-134 68 76
-7 -98 76
89 106 -32
107 98 121
-8 -104 34
88 -119 23
