8
1032 1600
663 -946 -614
418 200 139
-900 -219 -597
116 806 -70
-576 99 -840
320 -880 -110
-585 -36 -360
-701 294 -994
127 -64 954
412 519 -557
-482 -721 404
674 759 637
-1001 619 -673
-439 967 443
106 124 -367
1012 -814 876
-327 -783 494
881 -299 -877
-245 -882 -55
431 772 454
-673 894 462
-446 676 627
611 563 581
302 -212 -258
757 337 -808
-664 466 -545
833 625 114
-965 -191 -385
-124 -736 -877
-743 -576 -385
798 -552 -391
741 574 133
826 216 -13
1032 769 -375
691 -965 -41
769 -428 91
-418 -527 174
-298 892 -879
264 55 -925
45 -641 -242
969 228 373
910 -279 -314
-703 484 -73
69 416 -432
-874 -186 130
-746 -485 -791
196 -100 669
973 466 -481
1006 -301 -31
-525 -309 -75
763 -354 49
-414 -597 -236
-443 254 -375
108 -758 -628
-287 -561 525
-365 -278 -325
176 -506 -662
173 -238 -326
-624 -161 198
-325 -977 -258
373 893 -1028
181 -570 -252
92 -796 -148
-242 412 192
140 381 470
-246 -494 317
258 145 618
264 -580 -693
-293 397 450
412 -610 -76
-510 1003 -414
-655 552 590
-336 -216 450
-774 514 -467
344 964 -164
693 412 962
282 44 -193
-354 -22 993
-97 -596 643
796 72 -386
-124 654 -915
732 -102 -67
-406 749 1003
-344 -105 -821
-266 656 691
-351 -404 728
-399 517 -348
-631 932 360
778 3 570
478 -143 547
154 -324 -1017
266 787 -99
672 820 859
-380 909 759
709 957 171
668 -426 -747
-756 -438 796
18 -425 -665
-355 -993 -487
1003 -995 -697
-198 937 -816
759 642 -581
-609 -556 776
91 -53 948
-441 -259 381
-486 971 -455
-476 -397 -417
-1031 267 352
-769 550 704
-572 -864 792
35 -586 -375
419 -1008 135
-232 -57 44
-819 537 -868
-131 432 -826
-357 92 -194
-782 -244 168
733 888 -230
-920 -734 561
360 118 484
-374 -783 70
775 -322 -373
-1018 -204 350
-765 -734 641
521 -748 -495
134 383 639
-305 945 159
-153 -588 -919
968 217 959
-398 -954 837
332 197 -344
-204 551 -548
818 235 -513
-357 336 466
733 -940 377
19 739 231
-302 794 -169
-771 -69 -208
-1003 -712 -628
990 293 727
788 789 734
-232 -216 -894
907 -404 -474
862 -417 -16
-624 360 164
-740 997 -624
-703 915 647
-924 -918 -974
-895 143 -357
649 493 360
-648 -48 -568
-121 -999 -29
679 4 -880
112 -208 -516
-500 -692 -491
766 -628 432
499 -121 710
-495 -172 -667
-866 952 848
-323 535 719
-173 -934 -958
776 -642 454
-443 247 -1005
385 746 -842
847 431 246
881 -872 -444
636 572 706
757 -182 808
-900 -374 -585
785 773 -219
-139 -771 -272
456 514 815
-103 -179 -790
-883 339 -902
697 -724 -52
-493 -701 658
-643 -591 694
504 -45 468
-471 1011 293
-318 469 -220
-43 -150 757
354 -413 -661
-415 -659 23
915 613 -546
-509 373 940
927 647 -408
-605 -154 -780
-870 -642 -586
958 -328 25
-606 380 424
479 410 233
-400 192 -823
350 58 -608
206 -392 434
913 553 103
-199 53 835
-661 -261 -636
-183 -251 346
-330 696 -919
314 -572 -862
240 -488 -633
22 -551 -44
-320 527 66
-736 629 -723
841 -982 205
342 167 240
-539 -401 872
540 937 -520
-660 440 -1005
92 -412 -786
-136 629 826
264 -152 -518
-548 -311 -555
754 94 -434
39 -499 -284
-647 -808 153
-790 727 -940
969 333 -778
206 826 -1012
43 131 -981
-1016 -785 642
488 54 -499
-522 853 -833
1031 487 -624
-236 812 -277
-638 966 -465
324 431 -637
-41 -89 846
-89 959 -675
-625 925 -659
853 -220 -491
-784 -858 567
-232 873 1014
18 -804 -503
620 -928 506
-306 483 -1004
150 -911 -320
-883 -572 10
765 -966 229
-758 -986 -238
-1019 819 -781
-41 1028 976
553 -878 671
762 372 -389
885 -476 111
768 -128 -679
756 230 -396
-832 457 19
114 619 447
641 -327 -126
-325 -643 579
750 123 540
567 -353 1017
-44 305 941
801 -333 -621
561 184 743
234 -636 403
-888 127 49
-1020 1032 -809
656 -643 -327
-633 563 -475
112 -928 -271
963 -835 -987
-323 972 866
-750 -701 -849
651 -106 805
-916 -256 -906
-878 -352 366
-215 -107 -86
668 815 129
500 -634 51
-88 -173 -374
136 411 -501
403 -378 -990
771 -449 1005
545 -621 570
-784 909 -502
-154 122 1022
-618 845 -808
820 68 -603
575 1008 -1007
-738 815 -530
-641 -463 -429
-619 -378 -710
445 -918 606
-440 211 368
-733 969 921
-960 755 848
-867 -543 -687
406 183 -703
759 -3 874
-407 702 167
468 -771 114
-402 41 -927
266 -719 -697
126 -384 855
-742 -647 -168
721 145 704
-265 -566 -203
-134 -218 331
-324 429 458
-344 979 540
180 -616 -511
759 950 436
422 681 -346
-143 917 356
302 85 -503
