8
904 1600
-470 132 100
-98 718 500
-529 891 693
-522 662 579
-587 -57 -188
-851 883 801
-718 549 -864
715 748 283
-510 883 301
561 -399 -125
96 175 577
51 491 535
807 415 197
-767 -403 -143
-834 -88 -888
-298 324 679
-805 188 670
875 614 -671
-618 72 700
-83 -560 -571
-26 -179 -894
-598 410 528
689 448 -572
-607 -222 834
-610 -562 -286
-593 199 -480
378 -39 -70
-702 509 298
97 291 -529
-780 -95 -639
-620 603 -248
127 -246 663
374 423 329
428 768 412
-476 -33 722
179 844 339
834 690 113
179 606 -319
205 450 -336
-810 886 -8
-757 847 -403
523 -251 -486
-553 422 888
572 830 275
-425 -775 -420
-248 357 -247
-179 -593 372
504 616 892
-316 -753 59
-793 -389 -124
472 -864 -143
-719 -142 846
-319 -299 -519
-884 -427 -453
-268 362 421
484 80 -651
588 -579 131
-332 415 -890
383 -763 -251
-433 -182 -529
105 10 -672
91 -823 -842
-570 -89 -256
784 -50 666
479 -507 654
-8 -437 420
280 -189 866
757 -280 -63
-446 109 -866
-807 -509 -812
447 -698 -687
-773 -405 347
260 -183 -731
169 701 -678
-83 295 -148
-30 -660 386
-132 200 -222
-188 -487 -806
-664 -342 258
-233 387 777
491 604 -765
-154 -407 -624
186 160 -429
237 435 356
-253 -97 -625
-868 360 579
-107 733 -741
849 280 -798
541 -583 102
193 -350 607
136 126 179
732 -145 718
-394 -792 139
-462 -308 -897
-586 -166 427
-866 482 561
-892 -332 -292
16 -224 -772
-234 -235 -751
-143 -696 889
-467 -394 -173
370 816 -152
295 130 704
495 -600 -826
-498 -676 184
-668 693 -904
380 -559 699
473 -460 106
-527 710 260
206 -88 402
-524 -638 -81
22 -34 576
-543 -429 679
-658 651 -274
-91 -902 564
858 -537 -484
364 468 -418
-749 -127 -101
618 -295 -416
-438 1 -155
782 114 588
234 425 727
-437 -891 415
-325 269 407
-870 -5 -674
-519 600 21
-723 -705 -837
584 42 746
456 -295 710
-191 653 -495
342 -135 -213
214 722 259
-606 445 -628
-286 -49 103
16 568 -872
-321 111 437
-885 294 341
34 -688 262
-235 365 719
-196 -900 576
-582 -161 -333
844 679 -240
94 140 -624
121 833 412
27 -360 748
-10 480 -683
-125 612 -571
-730 -59 83
-231 228 535
868 580 -677
-770 651 -401
-209 -132 -206
574 -288 -568
-596 -840 166
122 737 -515
-138 197 -346
109 611 732
568 -65 563
94 325 -134
-809 245 -234
-465 -730 -150
-413 -632 -747
-720 368 -872
-479 -827 870
-141 794 241
891 277 -341
507 819 -716
-20 800 -182
-645 -23 173
-853 843 305
-795 -161 -108
439 -527 -47
338 -3 49
313 803 353
-418 327 -194
-29 444 274
-98 594 -76
577 70 3
-360 -129 -808
-311 -199 285
567 -827 494
-558 869 -595
-778 -282 -358
-39 -872 -538
-273 736 752
557 -799 901
537 -360 -477
-319 -863 -854
203 -559 -249
348 786 -59
430 252 347
-376 430 -175
-154 529 164
115 196 -745
586 -90 251
858 -581 707
-836 711 -881
302 -202 -141
-510 5 -30
-138 -58 -687
882 -839 373
-266 728 -614
-200 -71 -35
-250 830 790
426 649 -876
-839 -773 242
-446 -406 -124
-225 -339 -698
716 70 56
-413 112 -64
665 -494 -202
-139 -522 -177
-278 -6 67
284 604 847
533 -427 267
706 -499 80
-617 443 629
-197 568 497
-163 -201 -264
-580 -691 -655
-521 -731 -139
885 -415 218
804 75 322
-54 794 -822
106 -440 -301
-342 -406 238
40 -226 344
-833 -492 -96
624 437 -510
657 671 274
-652 -74 293
-400 682 894
-505 -434 -545
-395 -519 131
-609 -49 554
-75 392 275
29 -478 -380
-218 -253 -714
445 -426 391
-341 287 -458
-720 -897 -107
578 -292 -692
444 -342 199
352 -856 -643
-172 -252 -320
-743 436 -555
-880 902 635
210 673 -823
-441 -600 -704
-758 555 145
575 151 -282
-785 -135 480
-620 -52 -270
-343 -354 -334
-636 -670 -351
-203 -187 698
719 -684 572
109 -212 -92
552 300 314
733 574 -401
-127 456 -797
743 314 700
25 -663 590
-866 513 -823
-791 -814 783
524 459 737
578 337 222
-677 222 -267
791 657 -585
346 -887 -614
685 811 -382
16 -365 18
-669 -832 -451
-772 -832 -822
-604 -892 -394
-180 -885 746
-852 788 -805
530 257 843
152 -229 -42
-413 69 822
302 754 -142
-870 394 -363
878 255 -210
131 76 466
857 -75 898
894 676 -820
869 429 894
743 -444 -13
10 318 -282
415 -237 131
-126 491 244
