8
1544 1600
-1146 -945 -903
735 -1410 -140
-850 -384 490
-1245 -353 1395
-397 -440 -785
1507 -383 -479
1129 469 1497
-348 444 1034
-939 -1500 977
1237 -685 -309
1539 -923 561
-1291 -1 457
1307 178 -550
1219 -1533 29
-412 -1544 278
-1243 -883 1389
401 -1084 -1114
-1041 865 630
-972 -873 1209
1399 729 283
1101 948 336
-308 1064 -1224
736 1299 -424
-1455 521 -906
-648 837 1342
1417 586 -1489
838 39 1089
-825 91 191
-530 -996 -505
1256 280 805
-697 -374 -1126
1501 -1029 -157
-635 -233 1001
523 -792 -1372
-862 -1374 362
-528 -742 -472
668 939 -1250
415 1325 1379
-1258 299 -738
178 1518 -881
1454 -1336 1310
165 1075 -1453
-372 -629 -654
-1468 -1445 1020
-284 196 447
-909 1311 827
284 644 337
1265 620 -530
246 -1184 1512
-1331 -1473 1442
-261 113 673
-641 -730 893
569 115 888
-727 279 1059
-484 509 1240
-941 -1052 758
-40 -1362 270
429 58 -456
881 -150 562
711 1528 -1435
-187 1124 -116
-450 846 -690
555 893 1139
1397 -645 -151
-1056 994 -474
53 938 -101
453 -385 333
-1395 1249 343
1056 -1481 1491
745 -636 -1496
1345 -1497 1242
923 -698 70
670 202 1047
-921 -1230 -681
-1454 910 -685
504 -1042 -879
1233 1515 1057
1417 752 7
689 73 -908
501 -207 -577
1115 1100 -220
-530 827 1437
542 418 128
18 -384 872
1020 -1067 -1394
-1464 -438 -539
-93 1525 -274
-312 -1510 1062
803 865 363
-472 566 1404
-8 1517 -941
-441 -1146 -1453
971 724 -326
-1410 -1536 -1509
1204 -105 -677
-471 -1175 30
115 -1185 -432
300 -524 1402
1015 1287 607
870 -1330 894
523 277 -1185
-1330 31 1034
824 1219 -599
-484 -402 -43
1278 -631 -1227
1038 -534 -275
636 1337 -362
-242 1069 1252
-938 -1037 1189
-134 -6 1110
32 -832 1236
-1410 179 189
1039 -993 925
-314 720 178
114 -160 144
1209 -451 -737
261 1216 1202
-472 13 179
7 1000 472
-914 224 408
326 1170 -1164
1351 -1303 -207
495 167 -953
-919 -1447 1281
-538 1126 -325
728 391 159
-664 -1055 1239
-633 1539 -295
-1422 668 1399
-608 96 173
1477 868 -1038
-984 -1085 1499
-1409 -218 16
610 -1 -179
106 848 -310
-1446 239 1202
-724 -848 -196
477 -1119 -1271
1299 512 -31
-959 959 1362
-503 -681 -1007
16 412 -1413
833 -1040 656
65 -1262 1434
1405 -159 -549
-197 246 72
-532 -744 793
-1298 -214 -1154
-671 1077 915
118 67 -1392
-1189 -1175 438
443 -435 -463
-98 -1328 732
34 -604 -1318
-774 -948 -663
-1203 1520 -1395
784 562 -1237
-1 1033 -487
1057 1100 -435
1236 1172 1206
-849 -830 -387
1048 -1093 872
698 481 -216
-905 1235 1235
1190 -1442 -1321
596 353 -417
785 1421 -1429
285 158 -466
1272 -485 970
-1405 -745 -5
383 -1327 632
797 -643 330
-1466 1258 406
-286 -1152 663
1521 -587 -246
1050 -828 -212
-665 218 399
-708 191 -1302
-751 34 597
-212 544 461
-1490 -1006 308
863 439 -591
-751 -455 -217
-270 -361 1506
-1122 1183 -1265
798 -107 -185
-151 785 627
994 -1108 562
773 -1319 494
-1056 -103 -1304
77 566 -779
-331 575 -233
-940 -129 -908
-956 864 758
638 1195 -275
1344 -1289 -708
464 -925 880
-647 861 -1290
-812 -209 -444
-96 -699 1319
1520 -461 -1054
661 1029 -1447
