8
968 1600
-303 -252 664
-204 436 -743
363 -849 -187
-357 -140 212
-497 -528 648
387 90 391
519 -457 859
-640 768 903
796 728 719
-715 -532 -687
235 847 -416
62 161 -130
-818 322 -308
-278 -182 156
848 530 -858
-456 -473 -739
-248 -828 -247
126 376 -123
741 828 -154
610 527 400
663 -703 87
-449 18 922
292 51 -819
827 363 964
177 135 479
-928 807 -526
-331 131 -363
491 -379 638
-952 -183 670
-792 962 -857
-37 -81 789
634 -912 811
688 -732 461
-253 205 -248
583 -925 -527
-456 -181 519
-636 -563 -222
224 -392 372
-249 266 -189
-901 312 455
625 -287 -687
883 652 296
944 -106 -330
261 332 -572
51 349 589
-455 -705 -809
377 -97 749
354 23 -608
-925 425 770
-743 423 484
416 -602 631
-473 -377 346
20 39 -397
-494 433 -940
569 564 114
400 819 -305
-43 -146 169
364 307 -819
961 774 663
-107 552 -928
475 247 581
571 -149 -859
367 -571 -211
-78 -443 937
919 824 572
-275 -537 811
-479 -154 14
301 346 -844
537 429 650
-382 -935 -451
130 -15 -599
159 630 -8
-927 -244 423
-512 762 -850
399 23 -685
330 -612 935
894 585 13
-617 99 190
-445 647 -557
950 700 -402
-961 131 432
-151 597 -809
-758 219 229
244 -713 -943
-544 130 53
-597 -843 -385
-117 923 -593
458 -531 442
47 895 84
722 -559 846
-889 -907 -709
843 547 265
860 578 -239
278 417 -880
-677 48 507
321 -954 -793
226 -587 161
782 -469 558
-651 512 541
24 -763 119
202 -847 -856
-506 398 -653
-388 318 285
378 794 415
494 507 224
727 547 -888
-536 113 -380
-227 -853 596
893 88 345
421 945 -855
649 33 134
-641 -455 726
-637 -394 -10
758 196 357
-688 -82 -220
211 -715 -620
-901 -119 -651
-285 -476 356
-882 309 628
702 -491 -461
427 276 -730
-921 486 -823
-60 -461 -388
52 -149 -952
883 948 -20
658 -785 -28
-272 631 -751
235 -387 908
397 -800 142
156 311 664
-630 -521 928
207 -305 -2
-470 772 -683
-464 -560 94
-552 464 356
-311 438 -158
645 73 856
-839 742 881
-919 742 749
291 -832 -455
-720 -481 444
940 239 -162
402 -286 563
-87 608 -286
860 -842 -730
43 -40 -589
-187 722 904
249 -465 -368
-204 722 -77
-485 -121 135
609 274 -12
871 496 -528
776 -408 -688
-931 -60 -74
-916 234 -260
206 139 427
-829 711 370
732 210 -226
213 734 -51
811 -499 -621
874 -186 44
847 435 598
574 -929 -912
-959 544 -714
139 -283 -117
-855 401 694
-718 403 -53
-961 -450 -729
-251 192 -581
149 390 303
-8 -652 -537
396 -69 -815
-820 16 -358
-635 770 -151
889 -144 -870
618 556 407
685 540 -434
421 951 -213
536 -697 -808
-877 -105 -772
138 215 -498
-200 -253 -130
-949 700 -509
443 484 213
-158 794 -693
691 854 -516
661 387 702
381 207 -866
-300 -431 -277
-403 -669 536
826 -263 207
-965 870 894
504 -595 771
103 438 377
263 190 -323
262 24 541
-284 591 -510
7 592 -881
40 391 -650
294 358 -533
846 660 -748
-728 14 10
-287 776 -944
277 440 -714
-340 -471 888
-343 271 120
-641 -450 -662
-826 -32 508
-965 -500 136
707 16 643
367 -837 -280
-51 255 -756
95 371 -396
935 415 -701
247 -563 127
281 451 562
338 -439 -817
779 -458 749
965 638 795
510 -514 -338
-112 -158 -86
-490 -45 219
-472 573 -258
926 97 642
288 422 -603
791 719 -377
-485 862 46
293 175 603
919 628 -710
371 -526 51
806 175 860
-327 -637 965
-475 362 -348
247 252 33
892 -528 151
488 -57 -377
-523 635 686
436 -499 -718
-214 -116 -197
272 -378 -209
943 223 590
671 756 -655
-764 709 301
294 943 -304
-915 -287 -834
742 314 -57
105 -76 914
686 -700 520
-764 -426 -315
-900 280 353
69 688 -825
-625 -479 219
-404 -566 378
-329 180 -922
654 178 -432
-107 461 749
-571 210 850
-681 467 255
-841 -617 -111
-499 -359 473
-964 482 -3
769 268 514
-939 -143 294
469 -848 727
694 -901 529
-297 929 -742
290 -279 -841
-15 432 538
899 359 200
466 355 54
541 349 -174
-760 -554 -517
133 505 -539
-56 856 -326
-512 -748 734
-772 484 43
242 785 533
858 832 -942
806 551 -535
-638 -900 848
-105 -882 -575
-591 90 -272
129 554 -520
748 448 708
680 390 677
590 178 338
-292 691 -96
208 -710 87
