8
1096 1600
356 -332 -985
2 169 873
-716 598 877
261 -296 -727
206 575 -636
885 939 730
-760 136 -324
794 22 -314
866 -456 -252
996 -390 -368
436 -1025 -561
35 658 -353
-724 980 437
-988 -560 -518
-300 -337 116
-368 187 -573
670 -1016 842
57 270 881
540 603 315
250 -496 -234
52 -40 -218
294 -243 14
11 -18 -889
-377 -572 194
-506 604 -1010
-89 -945 -360
191 -779 1077
-1066 -886 -1082
533 821 279
-326 -17 -739
-369 -607 1029
960 -29 -600
123 -1031 -169
1035 429 -565
189 101 758
967 -457 -775
175 -315 258
-544 -285 702
1020 136 829
-55 1088 -363
296 -955 -448
-692 528 -955
790 -224 -429
-415 -423 -1005
748 -673 228
-936 731 -37
6 105 756
-908 -447 491
778 -287 278
-745 431 1038
729 433 -434
-992 16 802
-1003 -292 236
260 -396 344
-1042 1014 -273
-1012 515 -194
-24 -794 750
852 1031 -1005
-877 -547 26
-844 -971 137
522 -423 52
-321 1016 -654
-237 -1 -8
340 -702 -303
550 -646 -714
-446 -324 -641
443 665 946
54 143 -479
193 -551 783
35 -1022 -1049
991 -829 -281
-322 -1047 -878
-118 -133 -41
598 -1062 -454
81 -670 -324
203 315 -804
899 -929 -41
-515 1074 485
182 606 -663
-465 -616 -1095
-626 -666 -1034
-427 -210 -372
127 404 -684
-366 495 70
797 -1013 -162
19 -26 510
925 1091 250
654 -981 -170
-797 375 -613
-975 -106 -337
-454 875 -792
-349 1034 598
-772 1 -515
-353 -610 -255
-988 -1058 -480
451 -685 1026
483 -642 -1
427 203 1013
35 214 -1034
-751 -693 -877
924 -1019 831
1067 73 948
-379 -372 788
-851 46 -938
128 -488 658
-246 -193 -418
1062 187 -392
-673 -385 875
378 880 952
334 -795 -955
-765 -546 -403
-640 85 -977
-359 232 -684
21 192 544
652 -581 1079
483 885 -925
943 -613 -1089
-1082 576 -742
121 -798 -193
-524 619 -1035
-995 -769 -749
957 -517 848
349 657 1078
-12 -598 204
80 370 -6
905 445 1042
-258 877 435
283 -292 236
276 -1051 413
-849 -886 -624
314 -691 315
738 366 -512
-238 -744 278
478 -523 -603
461 -253 856
-1042 -933 697
-870 -314 812
-510 532 97
-959 -769 -495
-782 167 1002
756 488 804
-632 324 -282
-774 -552 1070
11 -1060 754
-1017 1021 447
513 670 -566
923 -96 -669
298 775 299
-483 -364 137
-936 679 -401
717 760 -678
160 28 413
-760 -46 -651
-127 -1070 108
528 -836 -284
258 218 804
460 725 15
-75 -1081 -10
193 -187 -526
1053 -478 -907
-598 -889 -771
67 -57 -607
-342 -660 294
375 487 -29
-759 -603 337
-530 -570 334
81 1033 -230
861 -747 -95
-573 364 -873
925 322 823
-909 -3 202
768 -249 -166
42 240 -301
-760 603 867
-872 -855 -680
377 89 480
775 -162 101
775 96 -340
318 239 -598
688 -1037 -896
-601 -1084 -747
-199 5 722
962 226 457
-955 -854 -10
-756 -421 915
453 598 809
-160 688 218
-842 -256 832
575 -164 652
-1050 -1 563
562 552 -925
-190 726 863
113 45 1010
893 -819 231
-1033 757 -1033
-894 -667 35
1086 -186 1067
-960 565 6
857 -923 -1075
914 833 533
-310 883 529
-488 -416 725
107 -676 734
-734 -283 -121
-265 425 -583
885 780 -949
435 -544 -982
151 1083 -1019
884 -272 -637
-83 -356 449
-90 -95 153
1005 -1034 201
416 298 649
-1092 -222 231
-310 1063 -480
-566 -752 -8
521 868 90
692 -904 -107
667 13 -531
-1003 115 -697
-167 -108 309
-600 708 472
231 -926 452
-28 -283 -1075
-155 471 1021
-311 469 -307
-716 419 -783
324 -419 -557
-585 99 178
293 -275 199
504 -441 152
-1014 714 -917
492 -551 437
-42 694 411
914 -745 -85
161 1000 -685
270 -401 753
-885 931 408
474 74 308
-1001 650 -768
-513 -646 910
-846 133 -874
-305 -400 71
-292 1032 -881
1037 -533 595
-986 -302 404
-934 367 332
450 -524 -532
-1037 757 977
-563 377 138
166 987 -1077
934 488 87
249 -303 974
591 574 -776
939 464 -473
1011 -653 -1017
-917 359 187
218 -613 -559
-537 -538 650
556 180 -1091
90 -9 614
44 -514 1070
676 270 -35
762 -845 -524
632 385 756
844 -605 -863
-46 52 -891
951 -595 957
-1079 -1019 -925
774 -431 -1056
928 493 302
1090 33 995
827 848 145
171 311 -764
733 101 1086
-168 -1073 70
-266 150 -1078
924 201 -429
677 -632 -456
770 -134 1087
-276 -163 1029
655 -61 996
-161 658 814
361 -400 225
395 -865 -968
-115 -277 730
561 -793 1093
109 800 -454
-940 798 -890
-812 39 13
487 910 738
466 295 346
-361 654 -985
874 137 -968
793 576 957
-290 18 -381
864 -462 -62
-914 57 942
-955 -902 -300
-617 -110 -991
779 -487 -62
116 -1089 -897
-687 519 -301
-305 -1019 -409
131 -209 -1001
848 -487 973
429 504 -528
982 -610 -467
-883 -35 -450
819 646 198
856 676 -103
-969 -262 644
-515 3 -240
169 -180 -778
-184 633 93
-532 281 675
948 -964 -77
150 -602 1005
28 198 807
-6 348 -6
-917 616 -141
813 -547 97
753 -381 215
-920 -517 415
-553 -539 -762
246 794 437
-1014 -572 136
-343 -835 513
149 551 -613
-757 -185 -900
386 966 925
-726 -964 -744
484 -94 -508
-1084 134 -548
580 -610 -932
-568 911 751
145 -471 -343
190 -885 -832
719 741 808
-436 209 482
608 -360 584
457 92 627
1020 -794 676
402 18 -469
323 -1023 438
533 -371 505
-649 -135 158
638 817 -613
991 182 -917
910 -799 11
-623 598 -336
497 336 1016
264 674 461
-793 -392 1028
555 1079 -336
158 -27 -1068
-312 411 -646
662 277 -1001
-1065 -981 735
985 451 -291
-411 -155 -613
265 142 980
-858 828 888
706 -1011 609
-898 227 -548
353 -822 -877
222 -230 -1029
-743 -596 -487
706 -1079 782
393 -491 -296
380 720 -423
-571 700 -262
635 92 -92
244 -95 111
63 -1052 620
294 42 78
291 -337 222
-75 -892 116
431 916 736
1033 -363 -204
-695 570 -479
-430 36 -523
-700 -1033 -213
709 1073 -31
-337 204 980
725 -1072 -1075
383 117 98
-583 -822 -1052
-192 -89 -331
-384 671 650
-632 151 811
92 869 -215
528 -925 -682
-507 -563 293
-782 562 -533
903 -341 654
380 -833 -529
-252 -46 955
-490 -484 335
-67 -97 882
-196 365 -72
483 -756 584
943 -23 22
-878 733 941
777 647 -28
-1001 -694 370
212 803 -18
1026 110 -539
-208 99 -573
1016 -790 -1065
896 213 621
-757 -981 -472
-378 744 468
739 -519 344
-860 -326 927
-737 968 -46
485 -1011 559
533 -141 97
625 545 535
-247 290 -966
204 -783 827
-723 258 236
127 -900 408
-768 -50 -1003
-920 899 -776
-158 -30 96
-1039 87 613
-1039 342 -750
-396 777 -1046
-31 277 -528
232 829 20
-653 507 -922
-115 1013 -333
-53 -412 -966
54 332 859
307 -1083 358
380 -269 501
192 483 1069
-271 -153 -353
769 -390 -448
-516 -757 733
-517 826 -17
822 -679 515
-629 -495 313
-1083 -199 73
-904 38 -812
774 -1030 695
285 774 830
-223 308 602
-199 2 1023
68 940 202
-72 -655 1054
-484 -982 -39
564 315 695
762 149 27
-716 -674 -442
-116 -569 1038
-765 -83 973
148 1023 983
808 974 17
-524 -592 139
266 351 450
145 -886 617
-1006 1008 126
-1076 717 -456
-701 -385 -352
-793 -225 -152
960 599 437
912 -340 -923
-42 479 -319
729 -968 264
-786 -821 60
16 -333 -1029
470 363 -984
-566 69 -1093
-304 -703 -167
-944 1 -817
878 -688 549
-632 260 539
392 -226 -638
405 591 732
-930 -171 107
746 -247 -51
-553 -1019 693
291 -815 -24
-24 -298 278
1002 181 1076
609 573 681
434 355 973
1077 -480 520
-510 595 276
178 -722 952
-460 -741 -905
1062 184 -614
495 -564 823
-489 590 -449
-944 -825 -265
-889 85 646
17 -618 428
-737 428 31
-969 1025 1077
157 230 370
-251 -49 -835
-197 -310 113
748 423 -705
-76 997 381
-1009 -779 141
-973 1085 38
998 239 359
-1004 280 373
-789 -911 14
126 -823 935
-73 447 141
728 612 -72
-301 -805 -780
-718 -389 -773
7 418 -485
245 73 -446
375 848 959
-619 682 -654
240 -194 941
-194 432 -86
151 869 -258
-305 -1046 413
1040 -131 -920
235 924 639
519 -50 -245
297 228 139
-602 683 -221
-850 -389 242
733 -242 158
873 -303 -792
383 -65 -890
-1082 979 -886
-542 662 819
-65 529 563
-294 633 -299
399 518 -241
171 850 -876
-97 929 -298
105 881 -909
153 997 -290
-295 -347 205
97 879 90
-432 -842 -494
-1084 -502 -170
330 -582 720
-897 -814 312
-970 -847 -731
-246 -429 -38
-486 798 833
-1019 570 -368
-913 835 974
-932 871 717
1 412 -696
341 -116 1066
1081 -965 253
-589 -353 880
472 96 -186
152 -177 264
-36 -917 992
-737 782 -424
250 644 183
-13 570 533
85 -331 -76
623 -855 889
744 809 607
-902 -954 -449
-200 31 -46
983 1025 -616
-298 -1063 -111
-901 938 364
-630 -63 191
959 663 -763
768 -1094 -302
564 912 -656
-965 469 1027
-977 -760 -462
-1068 -501 738
999 654 -554
974 -146 -356
-915 -188 925
92 177 901
651 823 534
452 -1052 745
-703 103 -537
-79 -999 -611
483 303 -321
-441 261 444
468 -469 891
-39 129 466
617 1010 230
687 -955 694
769 983 -612
-299 712 876
909 -579 1046
975 1030 784
91 -708 -145
-723 815 400
721 -396 342
823 662 794
-841 -58 -857
1011 514 755
-1038 -823 897
989 179 203
-602 -242 755
-750 11 977
-179 -118 989
-6 849 805
-560 150 -789
-742 192 -903
671 -1093 -807
812 831 -507
187 273 811
405 191 662
-1047 1032 -67
320 -743 -820
-144 -417 757
321 368 483
321 -948 -95
-1031 -709 -444
105 44 -331
962 859 -733
-1059 10 42
-832 820 894
693 -212 615
-453 -50 870
-380 287 329
-351 -181 744
625 297 422
166 2 -462
995 -212 911
373 -427 13
-280 607 933
1092 -235 -737
170 898 -708
-591 -532 -506
232 -212 1047
-1075 -739 963
1025 976 877
971 -99 -650
-605 103 -400
841 -168 -103
625 733 1070
504 235 1020
-723 861 -591
-238 928 980
363 -429 -274
-268 972 -974
8 -724 -706
464 618 330
764 951 750
902 845 -529
-594 -153 -729
787 -17 -601
-695 -29 -286
982 -745 -163
-381 -981 67
548 -668 -441
658 -952 -95
43 -965 781
-288 623 -964
149 -880 -767
831 1073 -960
423 725 -362
254 -816 627
-663 1082 -802
-977 267 -844
-557 176 -810
951 108 605
220 835 336
-990 -1002 -911
