8
776 1600
-207 410 552
583 490 -466
-153 292 438
-403 685 551
-597 120 -69
272 251 576
223 -319 154
739 -512 -671
-353 647 -645
-653 731 -479
-675 698 332
-337 603 746
338 147 395
94 -508 -545
204 668 551
-705 288 190
-633 -549 -223
212 -284 591
406 -45 684
-18 -483 -713
717 568 595
578 -392 688
-224 -732 -283
-33 187 469
461 -674 243
-696 -320 690
128 507 594
672 527 327
-37 601 -277
-744 -332 542
-599 705 501
-439 -749 -534
-483 703 -43
-219 354 -700
334 -27 -602
23 -39 228
-334 -526 -736
548 717 -610
68 318 470
-158 -285 -357
-699 -564 402
-433 -417 591
-393 113 579
428 -574 -261
-760 38 34
738 -726 84
119 406 -380
593 -707 504
-508 -468 712
455 -101 205
440 -103 -545
566 -434 329
549 651 -174
-203 1 239
-601 86 -393
-350 463 -442
252 680 -259
-634 -272 608
-257 62 351
-699 -50 431
-416 712 -697
-608 217 -731
-26 -191 -371
-371 316 273
-413 -41 160
-520 433 609
721 410 61
751 -127 199
757 534 -716
480 -123 -264
20 -352 -440
416 2 616
604 395 -713
-239 -771 -124
174 -709 553
223 5 348
679 773 -681
-386 21 -158
-481 653 406
584 -739 -444
-524 -411 170
368 15 -699
-369 725 -369
-454 -390 -757
586 -331 287
-388 133 672
-657 163 -236
513 748 -575
738 -717 339
-377 178 140
-356 498 761
-263 614 620
139 -504 577
-550 -511 480
648 616 563
-413 72 268
718 -214 -294
227 -673 -212
-452 725 -698
-597 774 -458
16 -131 756
-761 -381 -438
-527 -677 106
658 -57 -321
695 -627 54
428 622 -749
112 -557 64
-11 -739 -356
745 48 488
-240 -182 -545
402 452 701
-538 612 619
400 -167 -264
-106 -597 -211
91 364 -159
-142 354 -508
-97 -730 31
192 -188 -187
-352 410 -84
-304 82 500
12 -263 308
535 177 559
773 -218 -215
151 244 -328
-742 156 218
473 -685 454
-403 716 479
180 432 286
-743 -70 -772
115 -633 627
113 -500 -724
184 -316 590
-17 165 -334
-7 273 -373
600 -325 436
632 512 -304
-316 -384 370
-496 -728 346
-364 346 -385
198 314 606
359 733 274
117 356 -597
-556 349 423
733 -191 -255
-457 -182 -74
-676 715 353
-195 248 -447
-768 -65 61
668 564 -550
755 -363 472
572 666 -344
409 53 -565
640 172 368
-728 -213 -108
430 -689 -352
592 331 -629
-599 172 644
-429 84 448
-729 -20 757
-471 46 -240
-687 -213 -158
-450 766 96
-82 -139 -291
-545 745 22
-652 137 -82
178 -421 -489
-213 -440 12
176 -453 -486
-241 -601 -335
424 -21 -316
-211 24 646
-182 675 450
-165 -449 -670
448 564 -503
581 293 -6
-110 -702 29
440 -299 183
175 -339 154
-240 649 -551
-522 -81 -347
594 672 -277
-711 336 -517
-615 -337 579
287 -599 418
147 -77 -283
-555 99 -567
135 384 47
622 551 -204
320 177 131
550 314 348
224 -223 705
489 -162 -766
-602 722 -773
714 15 -426
530 -272 632
-440 627 -58
414 -416 535
-151 -68 414
8 -747 -737
-771 -101 531
-613 -530 317
-340 358 232
-442 184 716
-380 149 -604
26 435 -538
312 768 -20
713 741 -643
752 -158 16
-419 48 -90
-775 776 -560
568 179 507
-600 -36 -735
622 196 -597
