8
1288 1600
355 1041 -675
1182 594 -724
-556 203 726
-986 137 -929
-891 -1087 -84
153 -764 -1239
-233 -1115 -875
-4 -296 729
378 446 1251
1033 -178 837
1155 -1105 1240
837 -622 392
927 -1153 693
434 -1276 -658
669 -88 1120
-1224 -723 596
1224 -17 475
-183 866 56
-958 129 1178
1124 -897 288
-68 -493 944
286 549 986
979 -909 1240
342 422 919
-1087 146 614
-1218 185 -769
447 811 -355
670 35 962
445 -918 221
899 -861 103
99 620 -465
602 1212 199
-233 368 -245
-179 -528 443
-335 825 -1133
172 -617 1247
740 128 925
-167 -1090 99
383 656 48
-535 5 830
-737 -434 -529
-614 1114 -1090
793 245 1134
620 -366 541
-890 -320 -513
-984 -1223 363
1040 912 -48
1002 35 -941
577 1191 316
-745 327 -901
454 -574 11
362 740 -607
923 998 -418
-593 -87 -759
615 560 742
479 -697 400
-964 -344 -439
-404 -344 893
103 -724 576
120 371 -700
81 -430 -208
999 470 -314
505 -205 897
-193 -1087 -899
-1108 -839 13
-1121 688 -1207
-169 859 273
-729 1008 -1171
-1087 273 -1068
-703 -307 -1195
-366 -119 1282
934 1106 30
1257 -1196 1133
748 -615 -650
984 -1175 -205
-237 -646 -105
1225 498 -195
831 -714 773
-647 1213 -70
994 1155 52
701 1091 -1191
215 72 -918
329 516 -696
404 -628 -129
-1071 -895 -872
-1263 -299 -1145
617 947 826
412 976 667
777 867 -53
-459 -980 646
414 164 533
-59 -64 318
901 -1279 -1024
891 419 -109
1198 555 1247
867 -522 135
-977 970 -781
-1134 900 104
-390 709 237
292 1255 -152
121 385 -320
-31 -1282 287
-600 -964 -258
-555 -98 618
398 -357 20
-1219 -1233 223
483 1053 215
-124 -284 1192
-118 986 -937
642 137 955
248 349 1251
753 -1097 -524
50 674 466
582 -117 1001
-24 -873 -965
726 794 -1248
-437 -546 -913
-58 -1085 -1151
-1122 -1048 -256
31 701 -1264
667 1158 -718
1008 273 -626
-1101 -1257 -478
-964 -498 940
-655 834 890
-780 -86 -530
231 -480 679
1283 -1149 -159
143 -1086 -521
266 -408 -795
823 258 -338
-405 -509 -223
786 1256 338
-390 2 -131
-522 602 -482
-395 210 -1143
-699 -1035 621
-495 -1168 -1097
-1018 -22 553
577 -339 -653
588 511 318
-234 410 1049
-988 -413 493
371 1131 -206
-865 -835 -908
-52 1048 442
393 276 -368
442 187 -1117
1094 -101 886
-40 -298 370
307 -1143 243
973 863 508
-1003 541 -1149
-33 -720 1033
-600 758 -755
236 348 -593
-894 -1100 -818
545 563 -33
-1159 736 -542
-210 430 -1214
-800 975 -124
832 -435 437
981 668 -38
-740 -840 1155
-870 809 678
416 1163 -1221
914 50 895
1248 -67 236
809 -413 546
-830 997 -288
1216 -1106 377
390 1267 -118
-161 992 -496
827 1240 -1204
65 866 -528
260 1089 -764
-653 840 554
51 -832 118
691 533 731
941 105 -642
666 72 1019
-412 -66 249
434 241 -779
-725 -751 -87
-1129 67 424
895 -1097 557
-1157 157 1062
294 -534 489
-543 569 1098
783 729 101
936 -148 486
-792 -479 1052
164 844 976
196 -237 -51
-1189 -138 330
737 -294 1242
333 1221 -1285
1213 -373 293
867 -592 384
753 -129 1243
967 744 -1026
-540 -863 769
197 -528 223
113 -716 -884
-1144 -372 -829
549 981 -882
-108 -111 -1261
359 222 245
63 523 514
-140 -843 -1288
290 -537 1120
-216 44 -916
785 123 -325
137 -636 -1017
357 223 31
954 764 1023
-712 -223 -422
-1174 -889 124
286 651 -918
638 423 -779
-555 -744 1231
-621 -1033 -576
-247 -408 204
-522 -27 856
380 -681 -291
-881 -613 674
-1073 -222 771
-638 347 -1053
-492 842 -836
-1043 259 1256
1249 -398 -833
259 659 -941
-131 1167 -343
-308 1181 778
798 -166 1141
24 1270 -190
954 -474 1052
470 -693 -388
-524 695 11
-273 -713 192
465 -1106 640
151 -644 55
-194 -558 1150
553 -1151 369
876 651 544
1277 -724 917
-891 572 -569
1223 -512 -18
-335 896 -720
682 -193 740
435 590 493
-406 664 73
-406 842 -654
770 1234 240
-1048 1285 -229
-594 -803 868
855 418 927
-919 19 397
1038 -39 1081
-685 677 -618
1124 -504 -676
837 -111 -636
-194 737 -1242
1164 -1033 -468
531 -18 -491
-973 141 61
-1030 1206 391
203 777 -1268
1009 260 -323
-371 -1227 862
-621 -1164 995
-152 867 -775
-1191 -1040 1226
1097 76 748
-1175 -863 911
525 323 914
-986 795 987
-589 392 -689
-925 -934 419
-1032 -439 1011
-1235 816 173
-28 -1162 -636
563 1155 -539
-197 -147 125
-958 1200 812
1185 440 1117
1281 195 -88
982 1174 -1239
-1288 660 414
269 1096 -16
-1261 -304 -1185
-38 73 322
-1018 -941 577
870 -619 388
-889 1165 -643
317 -316 -288
-147 -862 941
12 -313 1145
-1049 -626 -342
-1231 -1195 1130
945 -285 -389
120 644 1239
-1144 -236 548
934 1172 1177
-617 486 522
-1232 -617 -1129
605 596 -229
90 569 -282
-989 -133 625
-521 -696 -681
412 -808 -801
1217 -381 46
-878 -1282 -531
484 610 -523
-1084 -158 -348
863 -322 -1260
-697 387 1147
1011 736 330
-87 -278 -1277
-668 -142 1106
342 772 -738
-391 -365 308
566 356 1229
-607 -1175 -5
-117 654 -806
946 1124 -1043
1271 -1006 -17
-915 924 -435
-92 1133 526
325 223 -825
-685 1077 571
-280 -1157 -108
591 -423 -1156
-12 917 -193
-851 886 1194
490 778 782
-317 -814 -865
-369 -738 -1167
1063 -226 766
-365 -34 222
827 1127 681
629 -94 352
777 -1142 448
401 367 -443
306 -1130 -487
202 751 1157
-982 455 -620
-661 -1194 577
369 -654 608
-981 -638 456
935 -695 264
1163 -641 520
1017 699 93
248 -394 -1079
1044 29 -956
861 666 1065
-432 775 -633
410 -104 601
-593 -917 -18
150 425 -158
415 652 -1029
-42 -969 -924
-1000 -1022 -769
-52 422 827
-36 -624 845
670 865 -1006
1178 -38 999
-274 -1057 947
575 687 1228
-1061 74 -433
854 1004 431
-366 989 -1129
164 837 -507
-550 -347 -504
168 316 409
-1038 -689 774
-1019 -1258 79
-174 759 -454
-957 -645 -415
-382 1009 1199
507 -1081 -1033
-616 127 -790
1255 868 113
760 -1250 -465
-415 267 -823
-480 1253 -534
1010 641 -754
145 -118 312
-815 -824 -1053
536 118 -861
991 -964 884
-768 -1177 -712
951 18 -1277
850 824 -694
806 -501 -1201
805 -973 251
1135 -93 457
226 711 349
-657 -450 777
462 237 -531
-543 -887 -287
77 1247 -1209
-1164 -564 960
-105 881 -1116
181 322 23
117 1219 -507
1142 -1070 45
539 -457 -43
-582 -1102 116
3 -1239 -506
-930 365 1228
-647 -1169 -714
43 233 -935
269 514 998
514 -68 -534
901 -100 -1135
-1155 696 -25
-451 -1272 -1016
-1255 -1104 -99
1172 688 647
-653 -698 -650
724 852 382
587 -404 -178
-281 1207 887
660 1040 -478
339 1002 193
-626 1259 -1245
-98 1237 733
-97 694 536
578 -42 -1014
-1065 187 -1116
-79 -279 -921
290 -1129 431
18 -582 597
666 -22 -554
-505 -111 -76
174 324 -1106
1065 -1050 934
-353 -815 53
-726 244 -847
-155 -78 -1202
-817 907 -926
-1157 -75 1057
825 738 -1188
-1140 1033 1055
538 -1059 339
476 514 -1250
781 -1031 634
1254 646 -126
223 564 610
1075 -546 377
-434 -401 1024
-850 -534 -801
479 -1266 1110
-1221 970 507
-168 -431 161
350 394 -439
-1207 -1029 420
819 -1057 851
57 14 -666
976 -767 -664
313 1027 1119
-1065 -213 -716
-103 900 230
-782 1014 -358
-1071 -1175 285
156 1058 -570
-962 79 -658
-1240 776 345
990 -922 526
430 -795 -786
1038 54 322
983 -959 -347
478 -598 319
-286 1048 262
1281 -747 629
990 -1160 -741
-278 743 -804
-1114 746 -582
904 970 688
-1001 -1181 -1133
-936 1251 -517
1162 878 45
1278 -1176 -166
-57 -313 -997
-675 1030 -911
-181 572 -1239
1263 -1023 -1179
150 -916 675
-739 347 776
429 -667 -798
-1198 -913 118
-193 -951 -860
832 -595 415
-689 -90 427
69 1035 389
716 -1104 615
-1254 218 1167
71 1064 1180
-1263 771 486
-389 139 -927
829 -189 -685
136 -631 513
-1130 -1203 -275
-1209 -733 968
819 -231 739
-246 -659 -704
1237 -666 -282
-889 -462 598
575 810 -47
-352 680 -954
824 -502 -845
526 -666 1075
493 -51 345
807 -574 -205
-763 -481 567
-151 954 1165
354 755 -800
-615 725 -651
153 10 -562
1256 -447 -877
511 587 417
-138 125 173
388 186 -733
-1184 1231 62
781 -459 139
-755 -649 1037
-368 -1059 435
-98 467 168
-1022 -877 612
705 -1059 1101
-506 -519 838
-141 -1097 1017
1092 -1172 1049
463 870 880
993 1011 1267
-758 1202 -1191
-1180 393 1241
-74 -653 -99
-316 -1205 987
-652 -57 779
837 788 -238
-600 -309 -759
-871 -655 556
406 -150 -874
765 -445 120
-758 110 -728
1042 -998 -960
-413 -1205 9
844 530 433
285 869 -501
-125 102 14
1242 -415 -256
951 784 -901
-1079 347 -957
1008 -483 -861
702 1211 574
646 -724 318
-1248 -953 651
-423 221 992
-1073 93 157
529 -98 193
-1123 1092 -966
-870 -1008 52
1038 1106 356
795 -328 -316
-354 668 -490
848 292 519
482 -452 19
493 212 -1047
591 -692 -148
322 834 3
574 405 -640
523 -1168 906
-1243 -464 -785
-1280 -613 -206
-328 -1236 -1203
561 1000 -206
673 -141 248
311 854 -732
-894 -983 -584
-626 214 -968
306 502 -1215
-73 -278 1047
-36 -265 -631
-1097 -626 -1228
1076 1113 870
-195 -1124 -937
997 447 184
1188 612 979
-992 416 630
371 -1191 1217
892 -1153 -379
-811 -911 191
-979 -128 -42
-51 291 1285
1035 -142 -1001
-1184 -950 -928
1207 1223 996
123 -1246 1027
-911 614 686
238 -750 30
-720 -346 -717
1195 -174 209
-747 -1171 18
-115 -1076 -1117
137 -763 -21
-619 -390 -273
373 -816 1164
540 402 312
666 103 -375
740 469 234
-712 330 688
-370 532 -1105
-930 38 1007
320 -1096 907
-126 -18 579
1028 333 -951
236 971 -763
1092 261 -731
507 -272 -853
514 -865 603
-761 241 924
260 -1222 -638
-257 368 1215
-160 429 -898
613 695 1262
1281 -113 -543
-53 1090 1141
1169 598 224
-286 -745 -784
-10 -890 -106
-877 -606 126
-728 43 -710
-419 735 110
-1016 -616 155
-95 933 -511
970 937 -1008
743 -643 784
897 138 -926
-900 981 -814
-855 1120 -74
1064 252 421
493 866 -1186
174 554 -975
275 40 -49
100 -503 -299
971 962 708
-1107 1024 734
980 -493 668
1054 -1000 832
-1244 -967 988
1057 -487 448
-967 1153 967
157 1006 1273
20 -594 -546
-71 -876 -1079
-794 -989 -1285
-181 293 -179
43 -30 -1011
265 -369 1243
845 -812 -654
-739 222 -624
-600 -373 241
-276 -794 -644
-1105 -794 235
-507 -1279 -1180
1064 -466 -467
605 -338 -674
-536 -647 -578
687 426 -654
-995 -1091 -221
251 297 1075
364 -468 754
-898 1241 -353
-719 -519 -645
-534 219 -17
55 -1197 -1017
-96 836 732
1203 419 -976
593 632 -896
164 694 1143
-639 447 515
1060 -661 722
695 -584 492
-877 -849 -706
1170 483 -703
1116 -515 161
-1218 -45 170
-1199 -74 -772
-200 -302 838
170 1139 9
-816 -1141 979
-890 193 -891
-87 43 -603
-13 1082 -64
547 1190 -1225
-200 411 -203
1076 -565 -1052
215 8 -731
-129 440 39
-193 -399 1016
-683 -1138 -166
-756 -1175 847
977 841 587
-1085 -1253 -617
437 -705 1223
-809 1212 -151
208 192 -334
354 -37 -811
-224 -720 901
-1187 -297 -454
17 441 -160
684 862 1076
-265 809 1203
-219 493 -393
1232 -161 1269
-1240 761 760
-3 -459 -426
-190 -378 637
-1188 -818 -652
1103 509 901
-68 837 -251
-631 1178 -1171
69 756 -88
251 -204 1153
-442 -395 1090
-1269 67 1178
-140 -192 -871
1098 -1082 -558
-1093 57 669
421 760 45
1278 1086 778
-130 -784 184
-1158 605 -183
-954 -196 917
-2 -857 1133
-1009 -145 876
1043 346 -1031
498 1019 -1121
599 -542 -648
-598 691 537
