8
200 1600
-189 -144 -166
126 -11 198
-152 -183 -176
92 -46 122
152 200 -35
-185 -141 -79
-102 -53 148
190 53 -57
30 171 127
152 -8 32
174 -7 74
-112 29 105
-1 -97 94
-105 -73 -175
66 9 143
22 109 18
91 -3 -131
56 6 -121
105 55 -149
88 -76 118
-163 -113 120
-105 -175 -13
1 130 190
-111 -123 17
-171 -49 166
18 13 190
124 -191 -127
123 23 145
-15 -113 61
-63 137 85
14 -119 121
-83 172 -150
-26 -129 167
23 195 183
14 -177 164
-55 -66 47
-30 122 192
-123 189 -29
-62 -161 -105
19 -186 -185
-187 -50 -192
-93 68 192
149 -34 -55
155 161 -8
-102 188 -128
151 -11 -4
-77 177 190
-127 81 150
13 183 169
-152 43 -76
7 80 -28
92 155 -76
-18 6 178
-46 38 -58
-180 -55 -122
-62 74 -126
136 197 53
-51 162 135
12 7 70
101 196 29
94 -97 -64
154 -86 -192
-82 95 -142
-138 -168 6
-101 124 136
96 -165 -195
-62 -16 -67
-162 63 -40
-38 -163 36
139 -114 142
-12 -47 -63
67 58 65
-43 50 -117
17 41 138
-75 98 -2
-112 143 -161
121 -176 -50
-56 -100 -116
165 -25 -4
42 178 -125
-40 124 -50
47 -126 -84
-194 69 31
-135 -176 121
46 70 -165
-83 133 -182
24 160 -151
-32 18 17
-125 139 -156
-19 -61 -129
24 -86 -139
115 -122 145
132 -169 -69
-126 7 104
-7 -13 -61
-169 -19 -77
121 142 -7
-169 98 200
-179 84 30
180 -34 86
-31 -17 -120
134 84 187
-19 135 -61
142 -72 -85
127 -137 -152
-128 120 -32
-153 194 -35
102 -3 -178
-50 59 49
130 -157 -34
141 119 -94
65 -3 78
20 65 83
198 -146 134
32 157 61
-184 -160 -45
-77 -68 -57
-16 -156 55
89 151 -53
-196 -148 152
-181 -58 6
114 -18 -39
122 21 -75
-127 -52 -86
-72 -109 57
152 143 -109
120 75 -189
-31 6 153
135 -195 -31
83 84 -14
140 -30 -74
21 62 -197
-61 76 -73
179 70 -78
177 70 22
154 80 -29
-75 52 147
-83 130 -164
-174 109 -110
-50 103 -32
-180 -86 158
168 79 76
22 14 -163
-93 195 -165
122 -30 -105
-19 -192 98
-118 -166 139
-137 -124 195
-19 61 -157
-8 161 51
32 99 161
-68 -98 121
-128 -140 -174
94 187 186
-161 -30 66
-71 -27 -44
130 81 -96
