8
1352 1600
-334 1274 -924
363 -471 -101
-1262 223 -1276
94 755 1328
-982 158 866
1169 -516 -1320
-342 92 -160
-317 165 1265
-353 1 658
-367 -165 -965
-915 130 -639
-77 141 -736
1225 -448 832
-356 174 1184
-708 859 -338
1177 643 -93
-1248 -557 -719
842 -1249 712
1061 -234 -1052
965 -984 551
-598 -768 1011
-486 -392 164
-1260 -844 1173
-446 -506 -725
-1008 -232 98
510 -1074 961
-899 -106 -311
431 -637 963
-577 56 973
1082 516 963
914 1124 -121
-1004 -515 886
-358 50 -1041
464 761 664
197 -1021 439
866 294 -1118
975 26 436
1184 -295 806
1009 792 -706
-1044 231 985
1154 -785 67
194 -780 -613
712 519 -1230
835 -681 653
-1001 -1275 -1214
1001 1269 337
298 457 -1332
435 824 955
-233 528 474
1084 1125 -1184
657 860 353
-10 -388 969
431 -784 -296
-145 -247 -336
1282 -766 122
668 1127 -1334
1149 -142 -1078
427 -187 -83
935 479 277
1217 -1108 1166
-1043 747 -214
-140 -277 332
-979 41 857
-310 458 504
1213 -1294 -37
387 -736 789
586 -600 938
-1061 -682 -391
210 -137 -102
839 1040 1066
-1007 -1088 803
212 -487 109
-1189 1339 199
1290 -1256 -444
835 1293 473
-1007 -67 155
71 -1167 67
-1203 261 -587
865 164 -132
948 -508 1081
-665 -291 1102
1082 -19 488
-927 588 1258
-459 -1222 -396
1075 -745 1033
539 1152 -1195
149 968 673
1050 617 870
1232 528 1318
-137 753 81
-1263 364 132
656 552 -40
-99 -228 219
-751 -1002 1219
549 -907 -975
430 -82 1333
666 -882 -1
-571 -1351 -1302
-793 -930 782
1063 816 -584
635 -205 -498
-51 -923 -1022
651 -1132 -82
-1049 -554 956
-535 -224 -446
860 -943 1309
-735 1287 -755
-746 1139 -118
-461 325 -54
507 14 398
476 819 155
-207 1203 -1343
-296 -33 464
-973 132 1042
409 -899 -586
744 23 -1179
919 -532 -990
109 771 -1212
-541 1215 -416
-89 -690 198
283 -518 -74
-12 661 1270
1175 -1055 68
-86 477 421
-931 1279 475
-407 1078 -450
1007 532 -363
-132 -555 -1115
1101 1115 -766
546 819 -1055
-300 -939 -46
607 11 662
541 -609 -831
-975 -962 233
-1029 272 225
403 -119 897
119 -1330 611
-60 -87 -1168
-450 -1215 -109
-605 -600 1066
-584 1301 -310
-586 -350 -356
886 -39 1029
-687 1301 -1047
1251 -1276 1349
336 1051 -505
-373 847 -226
91 -543 1106
-1125 -384 500
274 1099 -797
-837 804 -875
-236 318 -782
-774 565 -263
897 -854 -149
-50 -296 1227
-624 -1216 -1023
412 310 417
-859 -551 -94
-606 395 925
-763 -742 815
990 -629 238
141 571 876
193 -829 220
694 -542 365
-1220 -217 -460
-1086 414 -488
106 -262 642
140 -191 -135
-626 248 -342
503 -853 784
-82 -936 1270
1143 798 -906
-1132 -1000 714
-855 1105 -1009
-16 804 514
-276 321 1037
147 1350 660
475 -1123 -345
1127 1283 -598
-1083 -865 -274
-891 -318 -84
604 -173 151
152 -998 1151
-295 308 -261
161 -252 1227
836 297 -209
647 311 223
835 900 638
-63 951 1030
63 769 377
-529 47 939
-164 -707 -429
430 1055 -897
-846 -462 -273
-449 -185 -510
416 167 537
-437 -919 -104
-169 1228 -280
358 -975 1321
1 1086 650
-1065 194 852
352 -775 -1160
-438 -1187 -1106
-967 994 -520
-1175 13 -1226
-373 -65 891
-172 598 124
1192 -1185 11
-475 1311 -1096
24 464 -881
-311 1093 -196
-1022 646 172
263 -506 -1109
-512 -1352 1337
-990 -1250 580
752 -491 1275
465 562 334
-911 611 -1072
469 -263 -1037
431 49 771
144 1010 -676
-197 -1175 -1060
1108 -1023 -1323
-929 1151 -2
1299 391 -974
-43 1145 923
302 -1283 859
293 -146 159
174 827 -1316
-1209 1209 -215
503 1223 -301
-580 502 -464
169 -628 -31
1039 -605 1194
-310 1085 -805
284 369 -60
538 319 -935
-259 1207 1003
425 939 1313
-1308 -683 -220
407 -540 -652
-720 738 361
778 725 72
-1183 -540 305
-9 538 1325
1154 319 860
