8
72 1600
47 -23 57
68 -11 4
-55 42 -47
18 11 -25
-39 66 35
-1 -45 -43
-46 56 47
-9 71 -16
-7 3 32
31 29 38
67 -44 -34
-9 1 70
-29 -35 -3
-57 1 -41
20 -71 58
13 7 55
-18 42 -47
16 51 54
1 54 -48
-23 -23 53
-23 5 67
-46 -68 17
2 -66 20
-42 -69 71
10 37 16
31 -44 14
-33 3 -69
72 -17 -57
-63 -14 -70
-46 67 -47
-1 -34 30
-10 7 -26
-70 18 66
46 -17 45
-31 30 -21
43 -23 -23
-46 40 54
56 -71 -68
49 -31 -35
-67 18 33
37 -44 53
-65 -35 -56
-53 22 33
-64 -18 52
4 57 -49
1 -14 20
2 48 68
22 54 -19
66 -15 -10
58 69 -19
31 1 61
62 16 -67
-3 -69 68
-58 22 41
16 30 28
-68 -25 21
12 -16 -61
30 -70 -43
36 -68 -53
10 46 -35
12 19 23
14 54 -20
33 -36 34
72 63 14
-68 41 1
65 -17 67
-10 -9 22
55 56 -12
32 -2 -28
22 -18 20
-65 -59 -26
72 53 -46
-71 -7 51
-22 -17 2
-6 11 48
50 -2 -51
26 30 52
-67 -15 68
8 -7 45
33 -60 -47
23 -56 -43
26 -16 -58
-18 44 -3
29 67 -55
-70 -69 18
-20 56 -63
8 -14 -43
41 -46 -47
1 14 30
-17 48 56
66 51 -41
46 19 -26
39 23 42
-27 19 -70
16 42 -26
37 -28 40
26 19 -7
-8 52 -22
-24 -53 -30
-44 71 15
-31 -38 -49
-51 -14 43
70 -50 -61
-51 -12 58
-47 29 24
33 -67 -6
47 -19 16
-64 -33 43
-49 29 -24
65 -42 -61
59 -20 54
61 5 53
-31 16 -39
-48 -12 -41
-54 41 -28
18 -11 34
12 30 60
-26 52 -61
-65 58 39
-52 -33 -16
-23 42 20
12 -72 41
-13 13 -58
-16 -63 -65
-7 65 -46
21 -70 56
39 54 6
72 67 -56
-33 -10 -30
14 21 6
10 56 23
70 34 52
51 -15 20
11 45 -16
32 1 45
5 21 68
-60 66 21
-72 27 20
-65 26 69
34 44 50
-10 -19 -44
-39 -51 -54
-55 -23 1
8 -58 -5
55 64 -18
-20 -24 12
-4 8 27
7 -59 10
-16 -68 -66
34 -64 41
-45 -10 -1
39 19 -44
33 6 40
-66 -63 -61
63 16 -34
-14 -3 -39
10 54 -22
-61 72 34
40 -34 17
14 -22 -7
-25 16 -69
48 60 -68
16 42 -26
-56 -11 55
-59 -55 66
71 53 45
34 -8 30
33 68 55
4 -15 21
8 -23 60
-16 19 -22
9 65 -53
59 -64 -31
8 53 21
47 -42 42
-68 14 48
-15 59 -65
44 42 33
-40 -40 58
-36 -59 49
13 10 -45
-8 41 33
-57 6 -23
-9 49 -34
-72 2 -33
-24 16 -4
1 15 -56
62 -50 17
9 -41 -46
-71 -65 44
-6 -12 -60
17 35 -18
-48 -28 57
-70 -36 -3
-8 52 -25
17 -24 32
2 -52 72
-48 25 -11
-29 42 -42
46 -61 -19
43 57 67
33 16 42
-31 -65 54
41 60 2
41 -41 -51
-61 66 -40
-23 -4 27
-55 21 45
51 54 27
-65 5 -55
67 12 -3
55 32 4
-17 -42 27
-7 24 -37
-58 27 35
-42 68 24
14 -71 -59
56 33 -5
-53 55 47
34 -17 -10
55 43 63
4 50 -25
-48 46 -69
-55 27 -44
60 -58 55
26 62 -5
59 -64 -28
46 -60 32
60 -57 -59
18 32 13
21 18 64
1 15 15
30 -24 30
12 -41 67
-60 34 59
53 36 -29
-35 -14 -11
68 57 53
34 -4 58
-64 64 7
-25 -33 11
-24 2 -68
-41 40 -35
-9 33 57
3 45 -8
37 -51 -11
55 57 61
-51 38 -45
-64 -58 17
47 -21 71
-61 41 63
-16 44 -32
-49 -23 8
2 70 48
-4 -4 45
38 9 29
-3 62 -29
42 -4 -65
12 43 -11
19 -9 10
-18 -29 54
-53 34 -56
43 72 43
24 67 29
-53 19 13
30 57 4
58 4 -6
-3 -31 10
-33 35 58
-62 71 -29
-14 -39 25
-55 4 -69
-49 62 -66
67 14 -48
33 9 -27
17 -6 -61
-10 -52 -54
54 -14 63
-44 -49 70
1 48 -10
10 -64 -60
-21 9 -12
-25 32 22
-28 57 -25
