8
264 1600
125 -251 -25
3 -196 -26
-33 154 52
-221 -2 1
248 190 -83
239 -184 -67
138 42 102
133 -232 -108
-246 -61 -258
57 -220 -239
27 107 204
-104 -199 -98
-152 211 -89
198 245 246
-51 -226 -177
196 29 182
-43 -223 -103
-159 -203 -86
159 -218 -193
198 136 -120
42 -247 -85
-141 -240 -158
3 -125 -95
36 -49 80
91 -221 -39
226 137 128
-50 97 -16
-253 -138 -156
-42 191 250
21 40 13
-181 259 157
-199 -155 168
-153 238 -173
-239 109 44
88 -198 -220
-228 71 189
-214 211 -102
165 219 253
193 -252 -123
74 143 181
209 46 -109
223 131 -179
201 -115 -143
-113 -235 -124
70 2 -110
26 -99 -236
-182 194 184
204 38 -63
-132 202 -19
-239 195 5
-21 244 -214
68 237 -62
156 238 -217
214 -41 162
-122 130 120
37 -245 -224
200 -3 -30
69 55 102
-205 -142 -20
221 245 -177
-170 18 240
244 -97 49
14 203 11
-20 -38 -236
-125 -38 128
195 27 201
138 -203 -71
-212 -76 -35
-210 94 -76
-130 -215 -49
-24 186 -114
147 -22 33
180 -150 -138
90 -259 -52
-138 -256 37
253 39 -155
-206 110 -257
-38 -90 -49
-68 64 -217
86 -135 236
-83 84 -142
-128 180 217
-156 -179 -43
-107 253 84
99 124 61
151 -30 109
104 -98 230
-155 53 -221
201 149 23
-65 157 9
-139 120 115
-235 -232 11
44 205 -141
-147 44 175
-231 -126 -184
-96 -42 -258
-213 236 -238
147 -259 -187
-246 158 -63
56 -67 94
81 -155 -209
115 234 135
38 264 18
-163 216 212
-179 -202 -10
206 65 22
-9 214 236
177 214 -250
-208 -200 -35
235 -71 234
-241 205 -161
-6 -203 -177
-246 36 -201
82 -39 -63
16 9 -127
-96 2 256
135 -264 -247
-85 218 -51
166 145 100
-139 -258 -3
109 124 34
236 253 -235
-251 135 215
-208 -195 -213
-162 -104 198
257 -119 -211
-74 61 82
249 106 101
-198 -128 -25
-259 262 242
131 -187 29
152 -31 248
-27 30 209
-94 -223 195
28 -210 -220
36 92 -2
88 111 -123
-49 229 -216
33 -138 192
23 169 -124
264 165 57
120 -242 253
119 48 263
111 -83 -208
-222 -199 -3
102 -109 -72
112 118 22
74 234 22
-150 112 -60
-86 -204 201
-194 217 -137
112 46 -67
180 -215 -74
80 -237 -184
180 -210 172
-168 118 -64
145 131 -204
-147 -213 221
-33 194 98
116 29 242
-132 -162 -244
110 22 257
-92 -258 227
119 -226 128
-87 -172 -204
134 211 166
70 -227 55
67 -166 206
189 -138 -25
-47 176 -83
103 221 -136
56 244 -204
179 -19 -78
37 200 -257
-54 143 2
-238 -146 134
-224 -31 -167
10 -146 -222
50 -23 75
-222 -226 -247
19 -156 184
-245 -54 241
254 234 194
-49 -18 -135
-258 -141 75
23 197 -176
-156 -238 67
-259 -93 -44
-264 -251 83
-218 141 -160
52 -198 -131
-45 -177 -59
-245 -254 149
-17 50 -222
62 105 -30
-10 11 -227
-223 -19 -205
-255 229 -196
199 -227 -7
-13 -57 33
-20 -249 18
-10 131 89
-61 -132 -102
41 -86 196
-250 -125 -199
-72 78 119
-127 -147 137
243 -226 97
-122 120 61
-188 -161 99
76 -116 -44
90 -243 -55
-110 235 169
-196 218 178
65 -165 -137
205 -90 -248
-165 142 192
189 -22 -191
1 141 -2
-206 -248 74
95 197 -16
251 130 182
-217 -176 -212
-57 -201 206
-120 -245 159
-185 85 -257
-41 161 159
-84 26 -66
259 55 -226
-119 176 200
193 47 232
-119 190 148
264 -150 -109
2 185 -47
-98 -16 -164
89 -230 -255
-137 -222 -200
124 48 -45
141 -186 128
63 -144 -64
-137 -129 -255
-49 188 -101
-260 179 -47
163 -33 -150
18 -174 95
-174 -249 89
-192 -208 86
-144 193 127
-194 205 -25
17 211 163
-139 117 -211
-223 -26 -104
235 48 -214
-184 -144 63
-137 -96 -223
-90 53 54
-213 217 90
-32 20 47
-211 -78 8
-66 82 208
-226 -155 14
250 -223 79
-109 -55 206
31 3 -69
-52 -135 118
29 102 261
-15 13 -237
-221 38 204
-102 83 -259
119 -98 50
238 21 -30
-63 -149 -97
157 113 28
253 -11 127
17 -17 -65
162 182 -32
-147 -210 222
-181 28 200
156 -152 130
-250 -66 -55
-4 -179 244
-144 207 165
162 -39 206
67 -241 218
-168 49 -88
241 110 -235
-160 -96 29
-118 -44 23
-89 -8 -195
-103 164 177
-155 -72 -84
-190 -204 93
-216 44 68
-36 -98 -105
-87 -228 56
-215 151 -155
34 52 -252
-20 145 261
-20 -155 84
260 -84 94
126 -3 223
254 -47 -155
-158 -258 172
-90 -237 213
236 138 -182
38 47 -160
29 -162 -69
141 121 163
14 -193 215
-126 -173 -101
207 -194 -137
-212 -141 165
160 107 -18
8 -115 -194
217 -150 259
-48 -226 -182
252 -227 -39
64 70 127
-30 56 121
-37 -35 189
210 25 -135
-73 -179 79
-214 -20 262
-207 188 -180
243 147 152
-253 -228 188
-27 80 14
-199 105 73
183 -184 -15
-90 -171 -52
-221 152 61
-230 -174 147
214 -179 -140
-31 198 -68
-206 -76 -122
-226 -125 15
57 -235 -59
228 -118 136
-103 117 210
187 54 7
-26 152 -92
-68 52 -123
29 -238 -67
132 227 -133
6 -4 11
10 -177 -101
-22 81 108
-220 224 110
27 -76 -25
114 211 -169
31 -209 -177
264 -75 -203
-95 174 -60
-187 173 88
104 138 26
-157 43 54
252 -101 18
92 188 144
-202 -166 -215
83 185 159
-100 23 -195
-58 174 206
166 -120 196
-246 -128 238
-171 -195 203
-50 -256 203
-109 -45 -134
-5 -224 253
19 69 -56
-48 -223 127
172 -80 -28
39 161 -183
-123 -150 124
192 168 -24
13 -145 66
19 -98 203
-121 124 106
152 -254 176
7 -11 206
8 -88 179
130 -174 212
110 -249 -111
-80 29 -19
169 -95 127
164 155 -26
191 139 258
38 177 -64
170 143 -132
260 -168 223
-138 157 -165
-188 -235 -124
3 -35 73
209 43 -30
-67 -44 209
31 -136 -253
150 70 -44
-51 -78 -200
-72 -7 3
60 -130 202
83 -83 -230
-239 -176 136
153 -106 258
188 17 155
-234 225 -249
-61 228 14
-58 -71 -134
261 84 121
-191 -19 73
46 174 231
-18 -117 -106
-130 155 -245
-24 -256 252
-245 142 46
-185 -144 104
-116 -143 -65
16 -102 235
177 209 159
54 18 130
-79 -220 21
17 105 -98
-105 135 -235
-125 -48 61
36 -5 124
75 -86 130
90 36 44
-101 -208 63
214 69 207
-250 -39 170
-83 215 169
-105 58 163
-155 -193 231
-41 -213 -97
202 -232 78
-17 146 171
-70 79 60
-106 -175 -236
-36 -125 102
250 -239 99
247 -169 256
146 -167 -260
